Regions Code,Regions,Age (101 categories) Code,Age (101 categories),Observation
E12000001,North East,0,Aged under 1 year,24771
E12000001,North East,1,Aged 1 year,25842
E12000001,North East,2,Aged 2 years,26943
E12000001,North East,3,Aged 3 years,27736
E12000001,North East,4,Aged 4 years,29010
E12000001,North East,5,Aged 5 years,29435
E12000001,North East,6,Aged 6 years,28896
E12000001,North East,7,Aged 7 years,29818
E12000001,North East,8,Aged 8 years,31000
E12000001,North East,9,Aged 9 years,31326
E12000001,North East,10,Aged 10 years,31707
E12000001,North East,11,Aged 11 years,31142
E12000001,North East,12,Aged 12 years,30665
E12000001,North East,13,Aged 13 years,30805
E12000001,North East,14,Aged 14 years,30071
E12000001,North East,15,Aged 15 years,28885
E12000001,North East,16,Aged 16 years,28940
E12000001,North East,17,Aged 17 years,28311
E12000001,North East,18,Aged 18 years,30128
E12000001,North East,19,Aged 19 years,33845
E12000001,North East,20,Aged 20 years,33427
E12000001,North East,21,Aged 21 years,33481
E12000001,North East,22,Aged 22 years,32497
E12000001,North East,23,Aged 23 years,31645
E12000001,North East,24,Aged 24 years,31876
E12000001,North East,25,Aged 25 years,31061
E12000001,North East,26,Aged 26 years,31455
E12000001,North East,27,Aged 27 years,31994
E12000001,North East,28,Aged 28 years,32571
E12000001,North East,29,Aged 29 years,33653
E12000001,North East,30,Aged 30 years,34010
E12000001,North East,31,Aged 31 years,32848
E12000001,North East,32,Aged 32 years,33233
E12000001,North East,33,Aged 33 years,34196
E12000001,North East,34,Aged 34 years,33688
E12000001,North East,35,Aged 35 years,33891
E12000001,North East,36,Aged 36 years,33100
E12000001,North East,37,Aged 37 years,32264
E12000001,North East,38,Aged 38 years,32136
E12000001,North East,39,Aged 39 years,32011
E12000001,North East,40,Aged 40 years,32839
E12000001,North East,41,Aged 41 years,32849
E12000001,North East,42,Aged 42 years,30891
E12000001,North East,43,Aged 43 years,27940
E12000001,North East,44,Aged 44 years,27647
E12000001,North East,45,Aged 45 years,29428
E12000001,North East,46,Aged 46 years,29913
E12000001,North East,47,Aged 47 years,30924
E12000001,North East,48,Aged 48 years,32964
E12000001,North East,49,Aged 49 years,35788
E12000001,North East,50,Aged 50 years,36557
E12000001,North East,51,Aged 51 years,35308
E12000001,North East,52,Aged 52 years,36514
E12000001,North East,53,Aged 53 years,36909
E12000001,North East,54,Aged 54 years,38095
E12000001,North East,55,Aged 55 years,38413
E12000001,North East,56,Aged 56 years,39071
E12000001,North East,57,Aged 57 years,38755
E12000001,North East,58,Aged 58 years,38209
E12000001,North East,59,Aged 59 years,37891
E12000001,North East,60,Aged 60 years,36322
E12000001,North East,61,Aged 61 years,35299
E12000001,North East,62,Aged 62 years,35553
E12000001,North East,63,Aged 63 years,34778
E12000001,North East,64,Aged 64 years,33287
E12000001,North East,65,Aged 65 years,31817
E12000001,North East,66,Aged 66 years,30678
E12000001,North East,67,Aged 67 years,30681
E12000001,North East,68,Aged 68 years,29630
E12000001,North East,69,Aged 69 years,28843
E12000001,North East,70,Aged 70 years,28396
E12000001,North East,71,Aged 71 years,28990
E12000001,North East,72,Aged 72 years,29203
E12000001,North East,73,Aged 73 years,31275
E12000001,North East,74,Aged 74 years,30502
E12000001,North East,75,Aged 75 years,22578
E12000001,North East,76,Aged 76 years,23444
E12000001,North East,77,Aged 77 years,20337
E12000001,North East,78,Aged 78 years,18478
E12000001,North East,79,Aged 79 years,16423
E12000001,North East,80,Aged 80 years,15897
E12000001,North East,81,Aged 81 years,15591
E12000001,North East,82,Aged 82 years,15186
E12000001,North East,83,Aged 83 years,14015
E12000001,North East,84,Aged 84 years,12686
E12000001,North East,85,Aged 85 years,11113
