areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,East Midlands,E12000004,2023-02-24,9,17136
region,East Midlands,E12000004,2023-02-23,4,17127
region,East Midlands,E12000004,2023-02-22,5,17123
region,East Midlands,E12000004,2023-02-21,5,17118
region,East Midlands,E12000004,2023-02-20,3,17113
region,East Midlands,E12000004,2023-02-19,6,17110
region,East Midlands,E12000004,2023-02-18,10,17104
region,East Midlands,E12000004,2023-02-17,8,17094
region,East Midlands,E12000004,2023-02-16,8,17086
region,East Midlands,E12000004,2023-02-15,3,17078
region,East Midlands,E12000004,2023-02-14,5,17075
region,East Midlands,E12000004,2023-02-13,1,17070
region,East Midlands,E12000004,2023-02-12,3,17069
region,East Midlands,E12000004,2023-02-11,7,17066
region,East Midlands,E12000004,2023-02-10,10,17059
region,East Midlands,E12000004,2023-02-09,4,17049
region,East Midlands,E12000004,2023-02-08,4,17045
region,East Midlands,E12000004,2023-02-07,5,17041
region,East Midlands,E12000004,2023-02-06,5,17036
region,East Midlands,E12000004,2023-02-05,3,17031
region,East Midlands,E12000004,2023-02-04,2,17028
region,East Midlands,E12000004,2023-02-03,5,17026
region,East Midlands,E12000004,2023-02-02,4,17021
region,East Midlands,E12000004,2023-02-01,3,17017
region,East Midlands,E12000004,2023-01-31,2,17014
region,East Midlands,E12000004,2023-01-30,2,17012
region,East Midlands,E12000004,2023-01-29,7,17010
region,East Midlands,E12000004,2023-01-28,7,17003
region,East Midlands,E12000004,2023-01-27,6,16996
region,East Midlands,E12000004,2023-01-26,4,16990
region,East Midlands,E12000004,2023-01-25,8,16986
region,East Midlands,E12000004,2023-01-24,6,16978
region,East Midlands,E12000004,2023-01-23,4,16972
region,East Midlands,E12000004,2023-01-22,4,16968
region,East Midlands,E12000004,2023-01-21,5,16964
region,East Midlands,E12000004,2023-01-20,5,16959
region,East Midlands,E12000004,2023-01-19,7,16954
region,East Midlands,E12000004,2023-01-18,7,16947
region,East Midlands,E12000004,2023-01-17,7,16940
region,East Midlands,E12000004,2023-01-16,7,16933
region,East Midlands,E12000004,2023-01-15,5,16926
region,East Midlands,E12000004,2023-01-14,13,16921
region,East Midlands,E12000004,2023-01-13,9,16908
region,East Midlands,E12000004,2023-01-12,7,16899
region,East Midlands,E12000004,2023-01-11,3,16892
region,East Midlands,E12000004,2023-01-10,8,16889
region,East Midlands,E12000004,2023-01-09,6,16881
region,East Midlands,E12000004,2023-01-08,9,16875
region,East Midlands,E12000004,2023-01-07,5,16866
region,East Midlands,E12000004,2023-01-06,7,16861
region,East Midlands,E12000004,2023-01-05,9,16854
region,East Midlands,E12000004,2023-01-04,6,16845
region,East Midlands,E12000004,2023-01-03,5,16839
region,East Midlands,E12000004,2023-01-02,14,16834
region,East Midlands,E12000004,2023-01-01,6,16820
region,East Midlands,E12000004,2022-12-31,13,16814
region,East Midlands,E12000004,2022-12-30,14,16801
region,East Midlands,E12000004,2022-12-29,9,16787
region,East Midlands,E12000004,2022-12-28,11,16778
region,East Midlands,E12000004,2022-12-27,6,16767
region,East Midlands,E12000004,2022-12-26,8,16761
region,East Midlands,E12000004,2022-12-25,8,16753
region,East Midlands,E12000004,2022-12-24,11,16745
region,East Midlands,E12000004,2022-12-23,8,16734
region,East Midlands,E12000004,2022-12-22,8,16726
region,East Midlands,E12000004,2022-12-21,5,16718
region,East Midlands,E12000004,2022-12-20,7,16713
region,East Midlands,E12000004,2022-12-19,11,16706
region,East Midlands,E12000004,2022-12-18,2,16695
region,East Midlands,E12000004,2022-12-17,8,16693
region,East Midlands,E12000004,2022-12-16,5,16685
region,East Midlands,E12000004,2022-12-15,3,16680
region,East Midlands,E12000004,2022-12-14,8,16677
region,East Midlands,E12000004,2022-12-13,7,16669
region,East Midlands,E12000004,2022-12-12,4,16662
region,East Midlands,E12000004,2022-12-11,5,16658
region,East Midlands,E12000004,2022-12-10,4,16653
region,East Midlands,E12000004,2022-12-09,9,16649
region,East Midlands,E12000004,2022-12-08,4,16640
region,East Midlands,E12000004,2022-12-07,4,16636
region,East Midlands,E12000004,2022-12-06,7,16632
region,East Midlands,E12000004,2022-12-05,3,16625
region,East Midlands,E12000004,2022-12-04,2,16622
region,East Midlands,E12000004,2022-12-03,4,16620
region,East Midlands,E12000004,2022-12-02,4,16616
region,East Midlands,E12000004,2022-12-01,5,16612
region,East Midlands,E12000004,2022-11-30,6,16607
region,East Midlands,E12000004,2022-11-29,3,16601
region,East Midlands,E12000004,2022-11-28,8,16598
region,East Midlands,E12000004,2022-11-27,4,16590
region,East Midlands,E12000004,2022-11-26,2,16586
region,East Midlands,E12000004,2022-11-25,10,16584
region,East Midlands,E12000004,2022-11-24,4,16574
region,East Midlands,E12000004,2022-11-23,5,16570
region,East Midlands,E12000004,2022-11-22,8,16565
region,East Midlands,E12000004,2022-11-21,4,16557
region,East Midlands,E12000004,2022-11-20,4,16553
region,East Midlands,E12000004,2022-11-19,0,16549
region,East Midlands,E12000004,2022-11-18,5,16549
region,East Midlands,E12000004,2022-11-17,5,16544
region,East Midlands,E12000004,2022-11-16,2,16539
