areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,East of England,E12000006,2023-02-24,9,21442
region,East of England,E12000006,2023-02-23,9,21433
region,East of England,E12000006,2023-02-22,7,21424
region,East of England,E12000006,2023-02-21,10,21417
region,East of England,E12000006,2023-02-20,7,21407
region,East of England,E12000006,2023-02-19,2,21400
region,East of England,E12000006,2023-02-18,6,21398
region,East of England,E12000006,2023-02-17,15,21392
region,East of England,E12000006,2023-02-16,9,21377
region,East of England,E12000006,2023-02-15,9,21368
region,East of England,E12000006,2023-02-14,12,21359
region,East of England,E12000006,2023-02-13,8,21347
region,East of England,E12000006,2023-02-12,5,21339
region,East of England,E12000006,2023-02-11,9,21334
region,East of England,E12000006,2023-02-10,9,21325
region,East of England,E12000006,2023-02-09,11,21316
region,East of England,E12000006,2023-02-08,13,21305
region,East of England,E12000006,2023-02-07,5,21292
region,East of England,E12000006,2023-02-06,9,21287
region,East of England,E12000006,2023-02-05,12,21278
region,East of England,E12000006,2023-02-04,8,21266
region,East of England,E12000006,2023-02-03,9,21258
region,East of England,E12000006,2023-02-02,13,21249
region,East of England,E12000006,2023-02-01,4,21236
region,East of England,E12000006,2023-01-31,7,21232
region,East of England,E12000006,2023-01-30,10,21225
region,East of England,E12000006,2023-01-29,17,21215
region,East of England,E12000006,2023-01-28,10,21198
region,East of England,E12000006,2023-01-27,11,21188
region,East of England,E12000006,2023-01-26,16,21177
region,East of England,E12000006,2023-01-25,7,21161
region,East of England,E12000006,2023-01-24,11,21154
region,East of England,E12000006,2023-01-23,8,21143
region,East of England,E12000006,2023-01-22,5,21135
region,East of England,E12000006,2023-01-21,8,21130
region,East of England,E12000006,2023-01-20,9,21122
region,East of England,E12000006,2023-01-19,13,21113
region,East of England,E12000006,2023-01-18,8,21100
region,East of England,E12000006,2023-01-17,16,21092
region,East of England,E12000006,2023-01-16,12,21076
region,East of England,E12000006,2023-01-15,11,21064
region,East of England,E12000006,2023-01-14,7,21053
region,East of England,E12000006,2023-01-13,10,21046
region,East of England,E12000006,2023-01-12,9,21036
region,East of England,E12000006,2023-01-11,18,21027
region,East of England,E12000006,2023-01-10,10,21009
region,East of England,E12000006,2023-01-09,15,20999
region,East of England,E12000006,2023-01-08,13,20984
region,East of England,E12000006,2023-01-07,12,20971
region,East of England,E12000006,2023-01-06,9,20959
region,East of England,E12000006,2023-01-05,8,20950
region,East of England,E12000006,2023-01-04,17,20942
region,East of England,E12000006,2023-01-03,15,20925
region,East of England,E12000006,2023-01-02,16,20910
region,East of England,E12000006,2023-01-01,13,20894
region,East of England,E12000006,2022-12-31,14,20881
region,East of England,E12000006,2022-12-30,17,20867
region,East of England,E12000006,2022-12-29,16,20850
region,East of England,E12000006,2022-12-28,19,20834
region,East of England,E12000006,2022-12-27,20,20815
region,East of England,E12000006,2022-12-26,9,20795
region,East of England,E12000006,2022-12-25,14,20786
region,East of England,E12000006,2022-12-24,16,20772
region,East of England,E12000006,2022-12-23,10,20756
region,East of England,E12000006,2022-12-22,8,20746
region,East of England,E12000006,2022-12-21,9,20738
region,East of England,E12000006,2022-12-20,7,20729
region,East of England,E12000006,2022-12-19,13,20722
region,East of England,E12000006,2022-12-18,11,20709
region,East of England,E12000006,2022-12-17,8,20698
region,East of England,E12000006,2022-12-16,7,20690
region,East of England,E12000006,2022-12-15,6,20683
region,East of England,E12000006,2022-12-14,8,20677
region,East of England,E12000006,2022-12-13,4,20669
region,East of England,E12000006,2022-12-12,4,20665
region,East of England,E12000006,2022-12-11,5,20661
region,East of England,E12000006,2022-12-10,4,20656
region,East of England,E12000006,2022-12-09,9,20652
region,East of England,E12000006,2022-12-08,7,20643
region,East of England,E12000006,2022-12-07,7,20636
region,East of England,E12000006,2022-12-06,5,20629
region,East of England,E12000006,2022-12-05,3,20624
region,East of England,E12000006,2022-12-04,4,20621
region,East of England,E12000006,2022-12-03,4,20617
region,East of England,E12000006,2022-12-02,4,20613
region,East of England,E12000006,2022-12-01,4,20609
region,East of England,E12000006,2022-11-30,2,20605
region,East of England,E12000006,2022-11-29,3,20603
region,East of England,E12000006,2022-11-28,10,20600
region,East of England,E12000006,2022-11-27,9,20590
region,East of England,E12000006,2022-11-26,2,20581
region,East of England,E12000006,2022-11-25,5,20579
region,East of England,E12000006,2022-11-24,4,20574
region,East of England,E12000006,2022-11-23,7,20570
region,East of England,E12000006,2022-11-22,2,20563
region,East of England,E12000006,2022-11-21,5,20561
region,East of England,E12000006,2022-11-20,7,20556
region,East of England,E12000006,2022-11-19,5,20549
region,East of England,E12000006,2022-11-18,6,20544
region,East of England,E12000006,2022-11-17,8,20538
region,East of England,E12000006,2022-11-16,10,20530
region,East of England,E12000006,2022-11-15,9,20520
region,East of England,E12000006,2022-11-14,5,20511
region,East of England,E12000006,2022-11-13,7,20506
region,East of England,E12000006,2022-11-12,6,20499
region,East of England,E12000006,2022-11-11,4,20493
region,East of England,E12000006,2022-11-10,4,20489
region,East of England,E12000006,2022-11-09,5,20485
region,East of England,E12000006,2022-11-08,9,20480
region,East of England,E12000006,2022-11-07,11,20471
region,East of England,E12000006,2022-11-06,4,20460
region,East of England,E12000006,2022-11-05,9,20456
region,East of England,E12000006,2022-11-04,4,20447
region,East of England,E12000006,2022-11-03,9,20443
region,East of England,E12000006,2022-11-02,10,20434
region,East of England,E12000006,2022-11-01,4,20424
region,East of England,E12000006,2022-10-31,6,20420
region,East of England,E12000006,2022-10-30,16,20414
region,East of England,E12000006,2022-10-29,6,20398
region,East of England,E12000006,2022-10-28,13,20392
region,East of England,E12000006,2022-10-27,12,20379
region,East of England,E12000006,2022-10-26,7,20367
region,East of England,E12000006,2022-10-25,12,20360
region,East of England,E12000006,2022-10-24,14,20348
region,East of England,E12000006,2022-10-23,15,20334
region,East of England,E12000006,2022-10-22,8,20319
region,East of England,E12000006,2022-10-21,10,20311
region,East of England,E12000006,2022-10-20,19,20301
region,East of England,E12000006,2022-10-19,13,20282
region,East of England,E12000006,2022-10-18,11,20269
region,East of England,E12000006,2022-10-17,15,20258
region,East of England,E12000006,2022-10-16,11,20243
region,East of England,E12000006,2022-10-15,17,20232
region,East of England,E12000006,2022-10-14,11,20215
region,East of England,E12000006,2022-10-13,13,20204
region,East of England,E12000006,2022-10-12,20,20191
region,East of England,E12000006,2022-10-11,11,20171
region,East of England,E12000006,2022-10-10,7,20160
region,East of England,E12000006,2022-10-09,4,20153
region,East of England,E12000006,2022-10-08,18,20149
region,East of England,E12000006,2022-10-07,13,20131
region,East of England,E12000006,2022-10-06,13,20118
region,East of England,E12000006,2022-10-05,9,20105
region,East of England,E12000006,2022-10-04,7,20096
region,East of England,E12000006,2022-10-03,10,20089
region,East of England,E12000006,2022-10-02,6,20079
region,East of England,E12000006,2022-10-01,6,20073
region,East of England,E12000006,2022-09-30,3,20067
region,East of England,E12000006,2022-09-29,4,20064
region,East of England,E12000006,2022-09-28,11,20060
region,East of England,E12000006,2022-09-27,6,20049
region,East of England,E12000006,2022-09-26,3,20043
region,East of England,E12000006,2022-09-25,2,20040
region,East of England,E12000006,2022-09-24,1,20038
region,East of England,E12000006,2022-09-23,5,20037
region,East of England,E12000006,2022-09-22,5,20032
region,East of England,E12000006,2022-09-21,3,20027
region,East of England,E12000006,2022-09-20,3,20024
region,East of England,E12000006,2022-09-19,6,20021
region,East of England,E12000006,2022-09-18,3,20015
region,East of England,E12000006,2022-09-17,2,20012
region,East of England,E12000006,2022-09-16,4,20010
region,East of England,E12000006,2022-09-15,3,20006
region,East of England,E12000006,2022-09-14,1,20003
region,East of England,E12000006,2022-09-13,5,20002
region,East of England,E12000006,2022-09-12,2,19997
region,East of England,E12000006,2022-09-11,2,19995
region,East of England,E12000006,2022-09-10,3,19993
region,East of England,E12000006,2022-09-09,2,19990
region,East of England,E12000006,2022-09-08,6,19988
region,East of England,E12000006,2022-09-07,10,19982
region,East of England,E12000006,2022-09-06,3,19972
region,East of England,E12000006,2022-09-05,3,19969
region,East of England,E12000006,2022-09-04,5,19966
region,East of England,E12000006,2022-09-03,5,19961
region,East of England,E12000006,2022-09-02,11,19956
