areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,London,E12000007,2023-02-24,4,25591
region,London,E12000007,2023-02-23,9,25587
region,London,E12000007,2023-02-22,10,25578
region,London,E12000007,2023-02-21,3,25568
region,London,E12000007,2023-02-20,8,25565
region,London,E12000007,2023-02-19,5,25557
region,London,E12000007,2023-02-18,4,25552
region,London,E12000007,2023-02-17,4,25548
region,London,E12000007,2023-02-16,6,25544
region,London,E12000007,2023-02-15,6,25538
region,London,E12000007,2023-02-14,6,25532
region,London,E12000007,2023-02-13,5,25526
region,London,E12000007,2023-02-12,4,25521
region,London,E12000007,2023-02-11,5,25517
region,London,E12000007,2023-02-10,1,25512
region,London,E12000007,2023-02-09,2,25511
region,London,E12000007,2023-02-08,5,25509
region,London,E12000007,2023-02-07,6,25504
region,London,E12000007,2023-02-06,7,25498
region,London,E12000007,2023-02-05,3,25491
region,London,E12000007,2023-02-04,4,25488
region,London,E12000007,2023-02-03,8,25484
region,London,E12000007,2023-02-02,6,25476
region,London,E12000007,2023-02-01,6,25470
region,London,E12000007,2023-01-31,1,25464
region,London,E12000007,2023-01-30,8,25463
region,London,E12000007,2023-01-29,5,25455
region,London,E12000007,2023-01-28,4,25450
region,London,E12000007,2023-01-27,10,25446
region,London,E12000007,2023-01-26,6,25436
region,London,E12000007,2023-01-25,4,25430
region,London,E12000007,2023-01-24,7,25426
region,London,E12000007,2023-01-23,6,25419
region,London,E12000007,2023-01-22,7,25413
region,London,E12000007,2023-01-21,4,25406
region,London,E12000007,2023-01-20,5,25402
region,London,E12000007,2023-01-19,7,25397
region,London,E12000007,2023-01-18,5,25390
region,London,E12000007,2023-01-17,9,25385
region,London,E12000007,2023-01-16,8,25376
region,London,E12000007,2023-01-15,9,25368
region,London,E12000007,2023-01-14,5,25359
region,London,E12000007,2023-01-13,6,25354
region,London,E12000007,2023-01-12,12,25348
region,London,E12000007,2023-01-11,7,25336
region,London,E12000007,2023-01-10,7,25329
region,London,E12000007,2023-01-09,8,25322
region,London,E12000007,2023-01-08,6,25314
region,London,E12000007,2023-01-07,8,25308
region,London,E12000007,2023-01-06,13,25300
region,London,E12000007,2023-01-05,11,25287
region,London,E12000007,2023-01-04,11,25276
region,London,E12000007,2023-01-03,17,25265
region,London,E12000007,2023-01-02,11,25248
region,London,E12000007,2023-01-01,10,25237
region,London,E12000007,2022-12-31,17,25227
region,London,E12000007,2022-12-30,12,25210
region,London,E12000007,2022-12-29,6,25198
region,London,E12000007,2022-12-28,6,25192
region,London,E12000007,2022-12-27,11,25186
region,London,E12000007,2022-12-26,13,25175
