areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,North East,E12000001,2023-02-24,6,10190
region,North East,E12000001,2023-02-23,8,10184
region,North East,E12000001,2023-02-22,4,10176
region,North East,E12000001,2023-02-21,4,10172
region,North East,E12000001,2023-02-20,4,10168
region,North East,E12000001,2023-02-19,2,10164
region,North East,E12000001,2023-02-18,5,10162
region,North East,E12000001,2023-02-17,4,10157
region,North East,E12000001,2023-02-16,8,10153
region,North East,E12000001,2023-02-15,3,10145
region,North East,E12000001,2023-02-14,0,10142
region,North East,E12000001,2023-02-13,4,10142
region,North East,E12000001,2023-02-12,5,10138
region,North East,E12000001,2023-02-11,5,10133
region,North East,E12000001,2023-02-10,9,10128
region,North East,E12000001,2023-02-09,4,10119
region,North East,E12000001,2023-02-08,6,10115
region,North East,E12000001,2023-02-07,3,10109
region,North East,E12000001,2023-02-06,0,10106
region,North East,E12000001,2023-02-05,1,10106
region,North East,E12000001,2023-02-04,4,10105
region,North East,E12000001,2023-02-03,2,10101
region,North East,E12000001,2023-02-02,2,10099
region,North East,E12000001,2023-02-01,2,10097
region,North East,E12000001,2023-01-31,3,10095
region,North East,E12000001,2023-01-30,3,10092
region,North East,E12000001,2023-01-29,3,10089
region,North East,E12000001,2023-01-28,6,10086
region,North East,E12000001,2023-01-27,1,10080
region,North East,E12000001,2023-01-26,1,10079
region,North East,E12000001,2023-01-25,1,10078
region,North East,E12000001,2023-01-24,5,10077
region,North East,E12000001,2023-01-23,5,10072
region,North East,E12000001,2023-01-22,2,10067
region,North East,E12000001,2023-01-21,5,10065
region,North East,E12000001,2023-01-20,4,10060
region,North East,E12000001,2023-01-19,3,10056
region,North East,E12000001,2023-01-18,5,10053
region,North East,E12000001,2023-01-17,3,10048
region,North East,E12000001,2023-01-16,5,10045
region,North East,E12000001,2023-01-15,4,10040
region,North East,E12000001,2023-01-14,9,10036
region,North East,E12000001,2023-01-13,3,10027
region,North East,E12000001,2023-01-12,9,10024
