areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,North West,E12000002,2023-02-24,9,28851
region,North West,E12000002,2023-02-23,10,28842
region,North West,E12000002,2023-02-22,14,28832
region,North West,E12000002,2023-02-21,6,28818
region,North West,E12000002,2023-02-20,9,28812
region,North West,E12000002,2023-02-19,5,28803
region,North West,E12000002,2023-02-18,4,28798
region,North West,E12000002,2023-02-17,10,28794
region,North West,E12000002,2023-02-16,10,28784
region,North West,E12000002,2023-02-15,6,28774
region,North West,E12000002,2023-02-14,6,28768
region,North West,E12000002,2023-02-13,7,28762
region,North West,E12000002,2023-02-12,7,28755
region,North West,E12000002,2023-02-11,5,28748
region,North West,E12000002,2023-02-10,9,28743
region,North West,E12000002,2023-02-09,6,28734
region,North West,E12000002,2023-02-08,10,28728
region,North West,E12000002,2023-02-07,3,28718
region,North West,E12000002,2023-02-06,2,28715
region,North West,E12000002,2023-02-05,8,28713
region,North West,E12000002,2023-02-04,6,28705
region,North West,E12000002,2023-02-03,3,28699
region,North West,E12000002,2023-02-02,11,28696
region,North West,E12000002,2023-02-01,8,28685
region,North West,E12000002,2023-01-31,7,28677
region,North West,E12000002,2023-01-30,5,28670
region,North West,E12000002,2023-01-29,8,28665
region,North West,E12000002,2023-01-28,8,28657
region,North West,E12000002,2023-01-27,11,28649
region,North West,E12000002,2023-01-26,10,28638
region,North West,E12000002,2023-01-25,8,28628
region,North West,E12000002,2023-01-24,9,28620
region,North West,E12000002,2023-01-23,8,28611
region,North West,E12000002,2023-01-22,10,28603
region,North West,E12000002,2023-01-21,7,28593
region,North West,E12000002,2023-01-20,9,28586
region,North West,E12000002,2023-01-19,3,28577
region,North West,E12000002,2023-01-18,13,28574
region,North West,E12000002,2023-01-17,16,28561
region,North West,E12000002,2023-01-16,12,28545
region,North West,E12000002,2023-01-15,14,28533
region,North West,E12000002,2023-01-14,11,28519
region,North West,E12000002,2023-01-13,10,28508
region,North West,E12000002,2023-01-12,14,28498
region,North West,E12000002,2023-01-11,7,28484
region,North West,E12000002,2023-01-10,10,28477
region,North West,E12000002,2023-01-09,18,28467
region,North West,E12000002,2023-01-08,10,28449
region,North West,E12000002,2023-01-07,15,28439
region,North West,E12000002,2023-01-06,4,28424
region,North West,E12000002,2023-01-05,15,28420
region,North West,E12000002,2023-01-04,9,28405
region,North West,E12000002,2023-01-03,18,28396
region,North West,E12000002,2023-01-02,12,28378
region,North West,E12000002,2023-01-01,18,28366
region,North West,E12000002,2022-12-31,18,28348
region,North West,E12000002,2022-12-30,11,28330
region,North West,E12000002,2022-12-29,11,28319
region,North West,E12000002,2022-12-28,6,28308
region,North West,E12000002,2022-12-27,12,28302
region,North West,E12000002,2022-12-26,15,28290
region,North West,E12000002,2022-12-25,12,28275
region,North West,E12000002,2022-12-24,14,28263
region,North West,E12000002,2022-12-23,19,28249
region,North West,E12000002,2022-12-22,11,28230
region,North West,E12000002,2022-12-21,18,28219
region,North West,E12000002,2022-12-20,10,28201
region,North West,E12000002,2022-12-19,7,28191
region,North West,E12000002,2022-12-18,9,28184
region,North West,E12000002,2022-12-17,9,28175
region,North West,E12000002,2022-12-16,12,28166
region,North West,E12000002,2022-12-15,8,28154
region,North West,E12000002,2022-12-14,14,28146
region,North West,E12000002,2022-12-13,6,28132
region,North West,E12000002,2022-12-12,5,28126
region,North West,E12000002,2022-12-11,2,28121
region,North West,E12000002,2022-12-10,8,28119
region,North West,E12000002,2022-12-09,4,28111
region,North West,E12000002,2022-12-08,10,28107
region,North West,E12000002,2022-12-07,2,28097
region,North West,E12000002,2022-12-06,5,28095
region,North West,E12000002,2022-12-05,10,28090
region,North West,E12000002,2022-12-04,4,28080
region,North West,E12000002,2022-12-03,9,28076
region,North West,E12000002,2022-12-02,4,28067
region,North West,E12000002,2022-12-01,8,28063
region,North West,E12000002,2022-11-30,6,28055
region,North West,E12000002,2022-11-29,4,28049
region,North West,E12000002,2022-11-28,5,28045
region,North West,E12000002,2022-11-27,4,28040
region,North West,E12000002,2022-11-26,6,28036
region,North West,E12000002,2022-11-25,5,28030
region,North West,E12000002,2022-11-24,4,28025
region,North West,E12000002,2022-11-23,6,28021
region,North West,E12000002,2022-11-22,6,28015
region,North West,E12000002,2022-11-21,8,28009
region,North West,E12000002,2022-11-20,5,28001
region,North West,E12000002,2022-11-19,6,27996
region,North West,E12000002,2022-11-18,6,27990
region,North West,E12000002,2022-11-17,3,27984
region,North West,E12000002,2022-11-16,8,27981
region,North West,E12000002,2022-11-15,10,27973
region,North West,E12000002,2022-11-14,6,27963
region,North West,E12000002,2022-11-13,7,27957
region,North West,E12000002,2022-11-12,6,27950
region,North West,E12000002,2022-11-11,6,27944
region,North West,E12000002,2022-11-10,6,27938
region,North West,E12000002,2022-11-09,9,27932
region,North West,E12000002,2022-11-08,5,27923
region,North West,E12000002,2022-11-07,8,27918
region,North West,E12000002,2022-11-06,1,27910
region,North West,E12000002,2022-11-05,11,27909
region,North West,E12000002,2022-11-04,15,27898
region,North West,E12000002,2022-11-03,11,27883
region,North West,E12000002,2022-11-02,6,27872
region,North West,E12000002,2022-11-01,11,27866
region,North West,E12000002,2022-10-31,8,27855
region,North West,E12000002,2022-10-30,6,27847
region,North West,E12000002,2022-10-29,13,27841
region,North West,E12000002,2022-10-28,8,27828
region,North West,E12000002,2022-10-27,12,27820
region,North West,E12000002,2022-10-26,14,27808
region,North West,E12000002,2022-10-25,11,27794
region,North West,E12000002,2022-10-24,11,27783
region,North West,E12000002,2022-10-23,12,27772
region,North West,E12000002,2022-10-22,11,27760
region,North West,E12000002,2022-10-21,16,27749
region,North West,E12000002,2022-10-20,12,27733
region,North West,E12000002,2022-10-19,10,27721
region,North West,E12000002,2022-10-18,14,27711
region,North West,E12000002,2022-10-17,4,27697
region,North West,E12000002,2022-10-16,13,27693
region,North West,E12000002,2022-10-15,7,27680
region,North West,E12000002,2022-10-14,15,27673
region,North West,E12000002,2022-10-13,8,27658
region,North West,E12000002,2022-10-12,12,27650
region,North West,E12000002,2022-10-11,15,27638
region,North West,E12000002,2022-10-10,7,27623
region,North West,E12000002,2022-10-09,11,27616
region,North West,E12000002,2022-10-08,18,27605
region,North West,E12000002,2022-10-07,13,27587
region,North West,E12000002,2022-10-06,12,27574
region,North West,E12000002,2022-10-05,12,27562
region,North West,E12000002,2022-10-04,10,27550
region,North West,E12000002,2022-10-03,10,27540
region,North West,E12000002,2022-10-02,5,27530
region,North West,E12000002,2022-10-01,6,27525
region,North West,E12000002,2022-09-30,6,27519
region,North West,E12000002,2022-09-29,9,27513
region,North West,E12000002,2022-09-28,6,27504
region,North West,E12000002,2022-09-27,11,27498
region,North West,E12000002,2022-09-26,6,27487
region,North West,E12000002,2022-09-25,7,27481
region,North West,E12000002,2022-09-24,8,27474
region,North West,E12000002,2022-09-23,6,27466
region,North West,E12000002,2022-09-22,4,27460
region,North West,E12000002,2022-09-21,7,27456
region,North West,E12000002,2022-09-20,3,27449
region,North West,E12000002,2022-09-19,5,27446
region,North West,E12000002,2022-09-18,6,27441
region,North West,E12000002,2022-09-17,4,27435
region,North West,E12000002,2022-09-16,6,27431
region,North West,E12000002,2022-09-15,3,27425
region,North West,E12000002,2022-09-14,4,27422
region,North West,E12000002,2022-09-13,4,27418
region,North West,E12000002,2022-09-12,6,27414
region,North West,E12000002,2022-09-11,3,27408
region,North West,E12000002,2022-09-10,5,27405
region,North West,E12000002,2022-09-09,4,27400
region,North West,E12000002,2022-09-08,2,27396
region,North West,E12000002,2022-09-07,8,27394
region,North West,E12000002,2022-09-06,7,27386
region,North West,E12000002,2022-09-05,7,27379
region,North West,E12000002,2022-09-04,7,27372
region,North West,E12000002,2022-09-03,8,27365
region,North West,E12000002,2022-09-02,5,27357
region,North West,E12000002,2022-09-01,3,27352
region,North West,E12000002,2022-08-31,7,27349
region,North West,E12000002,2022-08-30,5,27342
region,North West,E12000002,2022-08-29,3,27337
region,North West,E12000002,2022-08-28,7,27334
region,North West,E12000002,2022-08-27,4,27327
region,North West,E12000002,2022-08-26,3,27323
region,North West,E12000002,2022-08-25,5,27320
