areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,South East,E12000008,2023-02-24,9,29049
region,South East,E12000008,2023-02-23,10,29040
region,South East,E12000008,2023-02-22,12,29030
region,South East,E12000008,2023-02-21,5,29018
region,South East,E12000008,2023-02-20,4,29013
region,South East,E12000008,2023-02-19,10,29009
region,South East,E12000008,2023-02-18,9,28999
region,South East,E12000008,2023-02-17,9,28990
region,South East,E12000008,2023-02-16,10,28981
region,South East,E12000008,2023-02-15,10,28971
region,South East,E12000008,2023-02-14,9,28961
region,South East,E12000008,2023-02-13,8,28952
region,South East,E12000008,2023-02-12,6,28944
region,South East,E12000008,2023-02-11,7,28938
region,South East,E12000008,2023-02-10,10,28931
region,South East,E12000008,2023-02-09,6,28921
region,South East,E12000008,2023-02-08,7,28915
region,South East,E12000008,2023-02-07,11,28908
region,South East,E12000008,2023-02-06,8,28897
region,South East,E12000008,2023-02-05,13,28889
region,South East,E12000008,2023-02-04,10,28876
region,South East,E12000008,2023-02-03,13,28866
region,South East,E12000008,2023-02-02,11,28853
region,South East,E12000008,2023-02-01,15,28842
region,South East,E12000008,2023-01-31,12,28827
region,South East,E12000008,2023-01-30,8,28815
region,South East,E12000008,2023-01-29,10,28807
region,South East,E12000008,2023-01-28,8,28797
region,South East,E12000008,2023-01-27,9,28789
region,South East,E12000008,2023-01-26,13,28780
region,South East,E12000008,2023-01-25,6,28767
region,South East,E12000008,2023-01-24,15,28761
region,South East,E12000008,2023-01-23,10,28746
region,South East,E12000008,2023-01-22,12,28736
region,South East,E12000008,2023-01-21,13,28724
region,South East,E12000008,2023-01-20,11,28711
region,South East,E12000008,2023-01-19,13,28700
region,South East,E12000008,2023-01-18,12,28687
region,South East,E12000008,2023-01-17,7,28675
region,South East,E12000008,2023-01-16,14,28668
region,South East,E12000008,2023-01-15,18,28654
region,South East,E12000008,2023-01-14,8,28636
region,South East,E12000008,2023-01-13,11,28628
region,South East,E12000008,2023-01-12,15,28617
region,South East,E12000008,2023-01-11,10,28602
region,South East,E12000008,2023-01-10,23,28592
region,South East,E12000008,2023-01-09,17,28569
region,South East,E12000008,2023-01-08,18,28552
region,South East,E12000008,2023-01-07,17,28534
region,South East,E12000008,2023-01-06,15,28517
region,South East,E12000008,2023-01-05,20,28502
region,South East,E12000008,2023-01-04,18,28482
region,South East,E12000008,2023-01-03,20,28464
region,South East,E12000008,2023-01-02,15,28444
region,South East,E12000008,2023-01-01,15,28429
region,South East,E12000008,2022-12-31,20,28414
region,South East,E12000008,2022-12-30,22,28394
region,South East,E12000008,2022-12-29,23,28372
region,South East,E12000008,2022-12-28,24,28349
region,South East,E12000008,2022-12-27,13,28325
region,South East,E12000008,2022-12-26,21,28312
region,South East,E12000008,2022-12-25,16,28291
region,South East,E12000008,2022-12-24,18,28275
region,South East,E12000008,2022-12-23,18,28257
region,South East,E12000008,2022-12-22,13,28239
region,South East,E12000008,2022-12-21,14,28226
region,South East,E12000008,2022-12-20,18,28212
region,South East,E12000008,2022-12-19,20,28194
region,South East,E12000008,2022-12-18,17,28174
