areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,South West,E12000009,2023-02-24,3,13593
region,South West,E12000009,2023-02-23,5,13590
region,South West,E12000009,2023-02-22,10,13585
region,South West,E12000009,2023-02-21,8,13575
region,South West,E12000009,2023-02-20,8,13567
region,South West,E12000009,2023-02-19,6,13559
region,South West,E12000009,2023-02-18,11,13553
region,South West,E12000009,2023-02-17,9,13542
region,South West,E12000009,2023-02-16,3,13533
region,South West,E12000009,2023-02-15,4,13530
region,South West,E12000009,2023-02-14,8,13526
region,South West,E12000009,2023-02-13,4,13518
region,South West,E12000009,2023-02-12,6,13514
region,South West,E12000009,2023-02-11,3,13508
region,South West,E12000009,2023-02-10,2,13505
region,South West,E12000009,2023-02-09,3,13503
region,South West,E12000009,2023-02-08,4,13500
region,South West,E12000009,2023-02-07,6,13496
region,South West,E12000009,2023-02-06,3,13490
region,South West,E12000009,2023-02-05,6,13487
region,South West,E12000009,2023-02-04,4,13481
region,South West,E12000009,2023-02-03,7,13477
region,South West,E12000009,2023-02-02,6,13470
region,South West,E12000009,2023-02-01,2,13464
region,South West,E12000009,2023-01-31,4,13462
region,South West,E12000009,2023-01-30,4,13458
region,South West,E12000009,2023-01-29,5,13454
region,South West,E12000009,2023-01-28,4,13449
region,South West,E12000009,2023-01-27,2,13445
region,South West,E12000009,2023-01-26,3,13443
region,South West,E12000009,2023-01-25,8,13440
region,South West,E12000009,2023-01-24,3,13432
region,South West,E12000009,2023-01-23,4,13429
region,South West,E12000009,2023-01-22,3,13425
region,South West,E12000009,2023-01-21,3,13422
region,South West,E12000009,2023-01-20,5,13419
region,South West,E12000009,2023-01-19,7,13414
region,South West,E12000009,2023-01-18,5,13407
region,South West,E12000009,2023-01-17,6,13402
region,South West,E12000009,2023-01-16,9,13396
region,South West,E12000009,2023-01-15,4,13387
region,South West,E12000009,2023-01-14,10,13383
region,South West,E12000009,2023-01-13,11,13373
region,South West,E12000009,2023-01-12,11,13362
region,South West,E12000009,2023-01-11,5,13351
region,South West,E12000009,2023-01-10,5,13346
region,South West,E12000009,2023-01-09,10,13341
region,South West,E12000009,2023-01-08,15,13331
region,South West,E12000009,2023-01-07,9,13316
region,South West,E12000009,2023-01-06,15,13307
region,South West,E12000009,2023-01-05,17,13292
region,South West,E12000009,2023-01-04,20,13275
region,South West,E12000009,2023-01-03,10,13255
region,South West,E12000009,2023-01-02,15,13245
region,South West,E12000009,2023-01-01,13,13230
region,South West,E12000009,2022-12-31,14,13217
region,South West,E12000009,2022-12-30,16,13203
region,South West,E12000009,2022-12-29,15,13187
region,South West,E12000009,2022-12-28,16,13172
region,South West,E12000009,2022-12-27,21,13156
region,South West,E12000009,2022-12-26,15,13135
region,South West,E12000009,2022-12-25,15,13120
region,South West,E12000009,2022-12-24,19,13105
region,South West,E12000009,2022-12-23,12,13086
region,South West,E12000009,2022-12-22,12,13074
