areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Wales,W92000004,2023-02-24,3,11528
nation,Wales,W92000004,2023-02-23,1,11525
nation,Wales,W92000004,2023-02-22,1,11524
nation,Wales,W92000004,2023-02-21,1,11523
nation,Wales,W92000004,2023-02-20,1,11522
nation,Wales,W92000004,2023-02-19,4,11521
nation,Wales,W92000004,2023-02-18,4,11517
nation,Wales,W92000004,2023-02-17,0,11513
nation,Wales,W92000004,2023-02-16,2,11513
nation,Wales,W92000004,2023-02-15,6,11511
nation,Wales,W92000004,2023-02-14,1,11505
nation,Wales,W92000004,2023-02-13,3,11504
nation,Wales,W92000004,2023-02-12,0,11501
nation,Wales,W92000004,2023-02-11,1,11501
nation,Wales,W92000004,2023-02-10,1,11500
nation,Wales,W92000004,2023-02-09,4,11499
nation,Wales,W92000004,2023-02-08,1,11495
nation,Wales,W92000004,2023-02-07,2,11494
nation,Wales,W92000004,2023-02-06,3,11492
nation,Wales,W92000004,2023-02-05,1,11489
nation,Wales,W92000004,2023-02-04,2,11488
nation,Wales,W92000004,2023-02-03,2,11486
nation,Wales,W92000004,2023-02-02,0,11484
nation,Wales,W92000004,2023-02-01,4,11484
nation,Wales,W92000004,2023-01-31,1,11480
nation,Wales,W92000004,2023-01-30,2,11479
nation,Wales,W92000004,2023-01-29,6,11477
nation,Wales,W92000004,2023-01-28,6,11471
nation,Wales,W92000004,2023-01-27,3,11465
nation,Wales,W92000004,2023-01-26,1,11462
nation,Wales,W92000004,2023-01-25,3,11461
nation,Wales,W92000004,2023-01-24,3,11458
nation,Wales,W92000004,2023-01-23,5,11455
nation,Wales,W92000004,2023-01-22,2,11450
nation,Wales,W92000004,2023-01-21,0,11448
nation,Wales,W92000004,2023-01-20,6,11448
nation,Wales,W92000004,2023-01-19,2,11442
nation,Wales,W92000004,2023-01-18,4,11440
nation,Wales,W92000004,2023-01-17,8,11436
nation,Wales,W92000004,2023-01-16,7,11428
nation,Wales,W92000004,2023-01-15,9,11421
nation,Wales,W92000004,2023-01-14,8,11412
nation,Wales,W92000004,2023-01-13,12,11404
nation,Wales,W92000004,2023-01-12,5,11392
nation,Wales,W92000004,2023-01-11,4,11387
nation,Wales,W92000004,2023-01-10,17,11383
nation,Wales,W92000004,2023-01-09,5,11366
nation,Wales,W92000004,2023-01-08,8,11361
nation,Wales,W92000004,2023-01-07,5,11353
nation,Wales,W92000004,2023-01-06,7,11348
nation,Wales,W92000004,2023-01-05,10,11341
nation,Wales,W92000004,2023-01-04,8,11331
nation,Wales,W92000004,2023-01-03,8,11323
nation,Wales,W92000004,2023-01-02,7,11315
nation,Wales,W92000004,2023-01-01,8,11308
nation,Wales,W92000004,2022-12-31,11,11300
nation,Wales,W92000004,2022-12-30,10,11289
nation,Wales,W92000004,2022-12-29,14,11279
nation,Wales,W92000004,2022-12-28,8,11265
nation,Wales,W92000004,2022-12-27,8,11257
nation,Wales,W92000004,2022-12-26,9,11249
nation,Wales,W92000004,2022-12-25,9,11240
nation,Wales,W92000004,2022-12-24,6,11231
nation,Wales,W92000004,2022-12-23,6,11225
nation,Wales,W92000004,2022-12-22,10,11219
nation,Wales,W92000004,2022-12-21,7,11209
nation,Wales,W92000004,2022-12-20,2,11202
nation,Wales,W92000004,2022-12-19,8,11200
nation,Wales,W92000004,2022-12-18,3,11192
nation,Wales,W92000004,2022-12-17,6,11189
nation,Wales,W92000004,2022-12-16,5,11183
nation,Wales,W92000004,2022-12-15,4,11178
nation,Wales,W92000004,2022-12-14,2,11174
nation,Wales,W92000004,2022-12-13,1,11172
nation,Wales,W92000004,2022-12-12,4,11171
nation,Wales,W92000004,2022-12-11,6,11167
nation,Wales,W92000004,2022-12-10,2,11161
nation,Wales,W92000004,2022-12-09,9,11159
nation,Wales,W92000004,2022-12-08,6,11150
nation,Wales,W92000004,2022-12-07,4,11144
nation,Wales,W92000004,2022-12-06,7,11140
nation,Wales,W92000004,2022-12-05,4,11133
nation,Wales,W92000004,2022-12-04,6,11129
nation,Wales,W92000004,2022-12-03,2,11123
nation,Wales,W92000004,2022-12-02,4,11121
nation,Wales,W92000004,2022-12-01,2,11117
nation,Wales,W92000004,2022-11-30,2,11115
nation,Wales,W92000004,2022-11-29,3,11113
nation,Wales,W92000004,2022-11-28,5,11110
nation,Wales,W92000004,2022-11-27,3,11105
nation,Wales,W92000004,2022-11-26,6,11102
nation,Wales,W92000004,2022-11-25,2,11096
nation,Wales,W92000004,2022-11-24,0,11094
nation,Wales,W92000004,2022-11-23,3,11094
nation,Wales,W92000004,2022-11-22,3,11091
nation,Wales,W92000004,2022-11-21,3,11088
nation,Wales,W92000004,2022-11-20,2,11085
nation,Wales,W92000004,2022-11-19,2,11083
nation,Wales,W92000004,2022-11-18,2,11081
nation,Wales,W92000004,2022-11-17,1,11079
nation,Wales,W92000004,2022-11-16,2,11078
nation,Wales,W92000004,2022-11-15,3,11076
nation,Wales,W92000004,2022-11-14,1,11073
nation,Wales,W92000004,2022-11-13,0,11072
nation,Wales,W92000004,2022-11-12,1,11072
nation,Wales,W92000004,2022-11-11,4,11071
nation,Wales,W92000004,2022-11-10,4,11067
nation,Wales,W92000004,2022-11-09,3,11063
nation,Wales,W92000004,2022-11-08,3,11060
nation,Wales,W92000004,2022-11-07,3,11057
nation,Wales,W92000004,2022-11-06,5,11054
nation,Wales,W92000004,2022-11-05,5,11049
nation,Wales,W92000004,2022-11-04,3,11044
nation,Wales,W92000004,2022-11-03,5,11041
nation,Wales,W92000004,2022-11-02,3,11036
nation,Wales,W92000004,2022-11-01,6,11033
nation,Wales,W92000004,2022-10-31,8,11027
nation,Wales,W92000004,2022-10-30,5,11019
nation,Wales,W92000004,2022-10-29,9,11014
nation,Wales,W92000004,2022-10-28,7,11005
nation,Wales,W92000004,2022-10-27,5,10998
nation,Wales,W92000004,2022-10-26,6,10993
nation,Wales,W92000004,2022-10-25,5,10987
nation,Wales,W92000004,2022-10-24,6,10982
nation,Wales,W92000004,2022-10-23,6,10976
nation,Wales,W92000004,2022-10-22,4,10970
