areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,West Midlands,E12000005,2023-02-24,7,22061
region,West Midlands,E12000005,2023-02-23,7,22054
region,West Midlands,E12000005,2023-02-22,4,22047
region,West Midlands,E12000005,2023-02-21,4,22043
region,West Midlands,E12000005,2023-02-20,10,22039
region,West Midlands,E12000005,2023-02-19,11,22029
region,West Midlands,E12000005,2023-02-18,4,22018
region,West Midlands,E12000005,2023-02-17,6,22014
region,West Midlands,E12000005,2023-02-16,6,22008
region,West Midlands,E12000005,2023-02-15,3,22002
region,West Midlands,E12000005,2023-02-14,11,21999
region,West Midlands,E12000005,2023-02-13,5,21988
region,West Midlands,E12000005,2023-02-12,9,21983
region,West Midlands,E12000005,2023-02-11,9,21974
region,West Midlands,E12000005,2023-02-10,8,21965
region,West Midlands,E12000005,2023-02-09,7,21957
region,West Midlands,E12000005,2023-02-08,8,21950
region,West Midlands,E12000005,2023-02-07,10,21942
region,West Midlands,E12000005,2023-02-06,7,21932
region,West Midlands,E12000005,2023-02-05,11,21925
region,West Midlands,E12000005,2023-02-04,4,21914
region,West Midlands,E12000005,2023-02-03,5,21910
region,West Midlands,E12000005,2023-02-02,8,21905
region,West Midlands,E12000005,2023-02-01,7,21897
region,West Midlands,E12000005,2023-01-31,13,21890
region,West Midlands,E12000005,2023-01-30,8,21877
region,West Midlands,E12000005,2023-01-29,6,21869
region,West Midlands,E12000005,2023-01-28,5,21863
region,West Midlands,E12000005,2023-01-27,10,21858
region,West Midlands,E12000005,2023-01-26,7,21848
region,West Midlands,E12000005,2023-01-25,4,21841
region,West Midlands,E12000005,2023-01-24,5,21837
region,West Midlands,E12000005,2023-01-23,7,21832
region,West Midlands,E12000005,2023-01-22,11,21825
region,West Midlands,E12000005,2023-01-21,13,21814
region,West Midlands,E12000005,2023-01-20,7,21801
region,West Midlands,E12000005,2023-01-19,10,21794
region,West Midlands,E12000005,2023-01-18,6,21784
region,West Midlands,E12000005,2023-01-17,3,21778
region,West Midlands,E12000005,2023-01-16,12,21775
region,West Midlands,E12000005,2023-01-15,11,21763
region,West Midlands,E12000005,2023-01-14,4,21752
region,West Midlands,E12000005,2023-01-13,5,21748
region,West Midlands,E12000005,2023-01-12,16,21743
region,West Midlands,E12000005,2023-01-11,12,21727
region,West Midlands,E12000005,2023-01-10,7,21715
region,West Midlands,E12000005,2023-01-09,12,21708
region,West Midlands,E12000005,2023-01-08,13,21696
region,West Midlands,E12000005,2023-01-07,14,21683
region,West Midlands,E12000005,2023-01-06,10,21669
region,West Midlands,E12000005,2023-01-05,15,21659
region,West Midlands,E12000005,2023-01-04,14,21644
region,West Midlands,E12000005,2023-01-03,9,21630
region,West Midlands,E12000005,2023-01-02,8,21621
region,West Midlands,E12000005,2023-01-01,13,21613
region,West Midlands,E12000005,2022-12-31,12,21600
region,West Midlands,E12000005,2022-12-30,17,21588
region,West Midlands,E12000005,2022-12-29,10,21571
region,West Midlands,E12000005,2022-12-28,13,21561
region,West Midlands,E12000005,2022-12-27,14,21548
region,West Midlands,E12000005,2022-12-26,9,21534
region,West Midlands,E12000005,2022-12-25,8,21525
region,West Midlands,E12000005,2022-12-24,9,21517
