areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
region,Yorkshire and The Humber,E12000003,2023-02-24,10,19109
region,Yorkshire and The Humber,E12000003,2023-02-23,2,19099
region,Yorkshire and The Humber,E12000003,2023-02-22,10,19097
region,Yorkshire and The Humber,E12000003,2023-02-21,6,19087
region,Yorkshire and The Humber,E12000003,2023-02-20,8,19081
region,Yorkshire and The Humber,E12000003,2023-02-19,4,19073
region,Yorkshire and The Humber,E12000003,2023-02-18,10,19069
region,Yorkshire and The Humber,E12000003,2023-02-17,4,19059
region,Yorkshire and The Humber,E12000003,2023-02-16,3,19055
region,Yorkshire and The Humber,E12000003,2023-02-15,6,19052
region,Yorkshire and The Humber,E12000003,2023-02-14,9,19046
region,Yorkshire and The Humber,E12000003,2023-02-13,1,19037
region,Yorkshire and The Humber,E12000003,2023-02-12,6,19036
region,Yorkshire and The Humber,E12000003,2023-02-11,4,19030
region,Yorkshire and The Humber,E12000003,2023-02-10,6,19026
region,Yorkshire and The Humber,E12000003,2023-02-09,4,19020
region,Yorkshire and The Humber,E12000003,2023-02-08,3,19016
region,Yorkshire and The Humber,E12000003,2023-02-07,9,19013
region,Yorkshire and The Humber,E12000003,2023-02-06,5,19004
region,Yorkshire and The Humber,E12000003,2023-02-05,6,18999
region,Yorkshire and The Humber,E12000003,2023-02-04,6,18993
region,Yorkshire and The Humber,E12000003,2023-02-03,4,18987
region,Yorkshire and The Humber,E12000003,2023-02-02,3,18983
region,Yorkshire and The Humber,E12000003,2023-02-01,8,18980
region,Yorkshire and The Humber,E12000003,2023-01-31,4,18972
region,Yorkshire and The Humber,E12000003,2023-01-30,5,18968
region,Yorkshire and The Humber,E12000003,2023-01-29,1,18963
region,Yorkshire and The Humber,E12000003,2023-01-28,9,18962
region,Yorkshire and The Humber,E12000003,2023-01-27,5,18953
region,Yorkshire and The Humber,E12000003,2023-01-26,1,18948
region,Yorkshire and The Humber,E12000003,2023-01-25,7,18947
region,Yorkshire and The Humber,E12000003,2023-01-24,9,18940
region,Yorkshire and The Humber,E12000003,2023-01-23,7,18931
region,Yorkshire and The Humber,E12000003,2023-01-22,10,18924
region,Yorkshire and The Humber,E12000003,2023-01-21,4,18914
region,Yorkshire and The Humber,E12000003,2023-01-20,9,18910
region,Yorkshire and The Humber,E12000003,2023-01-19,5,18901
region,Yorkshire and The Humber,E12000003,2023-01-18,11,18896
region,Yorkshire and The Humber,E12000003,2023-01-17,4,18885
region,Yorkshire and The Humber,E12000003,2023-01-16,9,18881
region,Yorkshire and The Humber,E12000003,2023-01-15,8,18872
region,Yorkshire and The Humber,E12000003,2023-01-14,15,18864
