areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,East of England,E12000006,2023-05-10,81.7,78.6,64.0
region,East of England,E12000006,2023-05-09,81.7,78.6,64.0
region,East of England,E12000006,2023-05-08,81.7,78.6,64.0
region,East of England,E12000006,2023-05-07,81.7,78.6,64.0
region,East of England,E12000006,2023-05-06,81.7,78.6,64.0
region,East of England,E12000006,2023-05-05,81.7,78.6,64.0
region,East of England,E12000006,2023-05-04,81.7,78.6,64.0
region,East of England,E12000006,2023-05-03,81.7,78.6,64.0
region,East of England,E12000006,2023-05-02,81.7,78.6,64.0
region,East of England,E12000006,2023-05-01,81.7,78.6,64.0
region,East of England,E12000006,2023-04-30,81.7,78.6,64.0
region,East of England,E12000006,2023-04-29,81.7,78.6,64.0
region,East of England,E12000006,2023-04-28,81.7,78.6,64.0
region,East of England,E12000006,2023-04-27,81.7,78.6,64.0
region,East of England,E12000006,2023-04-26,81.7,78.6,64.0
region,East of England,E12000006,2023-04-25,81.7,78.6,64.0
region,East of England,E12000006,2023-04-24,81.7,78.6,64.0
region,East of England,E12000006,2023-04-23,81.7,78.6,64.0
region,East of England,E12000006,2023-04-22,81.7,78.6,64.0
region,East of England,E12000006,2023-04-21,81.7,78.6,64.0
region,East of England,E12000006,2023-04-20,81.7,78.6,64.0
region,East of England,E12000006,2023-04-19,81.7,78.6,64.0
region,East of England,E12000006,2023-04-18,81.7,78.6,64.0
region,East of England,E12000006,2023-04-17,81.7,78.6,64.0
region,East of England,E12000006,2023-04-16,81.7,78.6,64.0
region,East of England,E12000006,2023-04-15,81.7,78.6,64.0
region,East of England,E12000006,2023-04-14,81.7,78.6,64.0
region,East of England,E12000006,2023-04-13,81.7,78.6,64.0
region,East of England,E12000006,2023-04-12,81.7,78.6,64.0
region,East of England,E12000006,2023-04-11,81.7,78.6,64.0
region,East of England,E12000006,2023-04-10,81.7,78.6,64.0
region,East of England,E12000006,2023-04-09,81.7,78.6,64.0
region,East of England,E12000006,2023-04-08,81.7,78.6,64.0
region,East of England,E12000006,2023-04-07,81.7,78.6,64.0
region,East of England,E12000006,2023-04-06,81.7,78.6,64.0
region,East of England,E12000006,2023-04-05,81.7,78.6,64.0
region,East of England,E12000006,2023-04-04,81.7,78.6,64.0
region,East of England,E12000006,2023-04-03,81.7,78.6,64.0
region,East of England,E12000006,2023-04-02,81.7,78.6,64.0
region,East of England,E12000006,2023-04-01,81.7,78.6,64.0
region,East of England,E12000006,2023-03-31,81.7,78.6,64.0
region,East of England,E12000006,2023-03-30,81.7,78.6,64.0
region,East of England,E12000006,2023-03-29,81.7,78.6,64.0
region,East of England,E12000006,2023-03-28,81.7,78.6,64.0
region,East of England,E12000006,2023-03-27,81.7,78.6,64.0
region,East of England,E12000006,2023-03-26,81.7,78.6,64.0
region,East of England,E12000006,2023-03-25,81.7,78.6,64.0
region,East of England,E12000006,2023-03-24,81.7,78.6,64.0
region,East of England,E12000006,2023-03-23,81.7,78.6,64.0
region,East of England,E12000006,2023-03-22,81.7,78.6,64.0
region,East of England,E12000006,2023-03-21,81.7,78.6,64.0
region,East of England,E12000006,2023-03-20,81.7,78.6,64.0
region,East of England,E12000006,2023-03-19,81.7,78.6,64.0
region,East of England,E12000006,2023-03-18,81.7,78.6,64.0
region,East of England,E12000006,2023-03-17,81.7,78.6,64.0
region,East of England,E12000006,2023-03-16,81.7,78.6,64.0
region,East of England,E12000006,2023-03-15,81.7,78.6,64.0
region,East of England,E12000006,2023-03-14,81.7,78.6,64.0
region,East of England,E12000006,2023-03-13,81.7,78.6,64.0
region,East of England,E12000006,2023-03-12,81.7,78.6,64.0
region,East of England,E12000006,2023-03-11,81.7,78.6,64.0
region,East of England,E12000006,2023-03-10,81.7,78.6,64.0
region,East of England,E12000006,2023-03-09,81.7,78.6,64.0
region,East of England,E12000006,2023-03-08,81.7,78.6,64.0
region,East of England,E12000006,2023-03-07,81.7,78.6,64.0
region,East of England,E12000006,2023-03-06,81.7,78.6,64.0
region,East of England,E12000006,2023-03-05,81.7,78.6,64.0
region,East of England,E12000006,2023-03-04,81.7,78.6,64.0
region,East of England,E12000006,2023-03-03,81.7,78.6,64.0
region,East of England,E12000006,2023-03-02,81.7,78.6,64.0
region,East of England,E12000006,2023-03-01,81.7,78.6,64.0
region,East of England,E12000006,2023-02-28,81.7,78.6,64.0
region,East of England,E12000006,2023-02-27,81.7,78.6,64.0
region,East of England,E12000006,2023-02-26,81.7,78.6,64.0
region,East of England,E12000006,2023-02-25,81.7,78.6,64.0
region,East of England,E12000006,2023-02-24,81.7,78.6,64.0
region,East of England,E12000006,2023-02-23,81.7,78.6,64.0
region,East of England,E12000006,2023-02-22,81.7,78.6,64.0
region,East of England,E12000006,2023-02-21,81.7,78.6,64.0
region,East of England,E12000006,2023-02-20,81.7,78.6,64.0
region,East of England,E12000006,2023-02-19,81.7,78.6,64.0
region,East of England,E12000006,2023-02-18,81.7,78.6,64.0
region,East of England,E12000006,2023-02-17,81.7,78.6,64.0
region,East of England,E12000006,2023-02-16,81.7,78.6,64.0
region,East of England,E12000006,2023-02-15,81.7,78.6,64.0
region,East of England,E12000006,2023-02-14,81.7,78.6,64.0
region,East of England,E12000006,2023-02-13,81.7,78.6,64.0
region,East of England,E12000006,2023-02-12,81.7,78.6,64.0
region,East of England,E12000006,2023-02-11,81.7,78.6,64.0
region,East of England,E12000006,2023-02-10,81.7,78.6,64.0
region,East of England,E12000006,2023-02-09,81.7,78.6,64.0
region,East of England,E12000006,2023-02-08,81.7,78.6,64.0
region,East of England,E12000006,2023-02-07,81.7,78.6,64.0
region,East of England,E12000006,2023-02-06,81.7,78.6,64.0
region,East of England,E12000006,2023-02-05,81.7,78.6,64.0
region,East of England,E12000006,2023-02-04,81.7,78.6,64.0
region,East of England,E12000006,2023-02-03,81.7,78.6,64.0
region,East of England,E12000006,2023-02-02,81.7,78.6,64.0
region,East of England,E12000006,2023-02-01,81.7,78.6,64.0
region,East of England,E12000006,2023-01-31,81.7,78.6,64.0
region,East of England,E12000006,2023-01-30,81.7,78.6,64.0
region,East of England,E12000006,2023-01-29,81.7,78.6,64.0
region,East of England,E12000006,2023-01-28,81.7,78.6,64.0
region,East of England,E12000006,2023-01-27,81.7,78.6,64.0
region,East of England,E12000006,2023-01-26,81.7,78.6,64.0
region,East of England,E12000006,2023-01-25,81.7,78.6,64.0
region,East of England,E12000006,2023-01-24,81.7,78.6,64.0
region,East of England,E12000006,2023-01-23,81.7,78.6,64.0
region,East of England,E12000006,2023-01-22,81.7,78.6,64.0
region,East of England,E12000006,2023-01-21,81.7,78.6,64.0
region,East of England,E12000006,2023-01-20,81.7,78.6,64.0
region,East of England,E12000006,2023-01-19,81.7,78.6,64.0
region,East of England,E12000006,2023-01-18,81.7,78.6,64.0
region,East of England,E12000006,2023-01-17,81.7,78.6,64.0
region,East of England,E12000006,2023-01-16,81.7,78.6,64.0
region,East of England,E12000006,2023-01-15,81.7,78.6,64.0
region,East of England,E12000006,2023-01-14,81.7,78.6,64.0
region,East of England,E12000006,2023-01-13,81.7,78.6,64.0
region,East of England,E12000006,2023-01-12,81.7,78.5,64.0
region,East of England,E12000006,2023-01-11,81.7,78.5,64.0
region,East of England,E12000006,2023-01-10,81.7,78.5,64.0
region,East of England,E12000006,2023-01-09,81.7,78.5,64.0
region,East of England,E12000006,2023-01-08,81.7,78.5,64.0
region,East of England,E12000006,2023-01-07,81.7,78.5,64.0
region,East of England,E12000006,2023-01-06,81.7,78.5,64.0
region,East of England,E12000006,2023-01-05,81.7,78.5,64.0
region,East of England,E12000006,2023-01-04,81.7,78.5,64.0
region,East of England,E12000006,2023-01-03,81.7,78.5,63.9
region,East of England,E12000006,2023-01-02,81.7,78.5,63.9
region,East of England,E12000006,2023-01-01,81.7,78.5,63.9
region,East of England,E12000006,2022-12-31,81.7,78.5,63.9
region,East of England,E12000006,2022-12-30,81.7,78.5,63.9
region,East of England,E12000006,2022-12-29,81.7,78.5,63.9
region,East of England,E12000006,2022-12-28,81.7,78.5,63.9
region,East of England,E12000006,2022-12-27,81.7,78.5,63.9
region,East of England,E12000006,2022-12-26,81.7,78.5,63.9
region,East of England,E12000006,2022-12-25,81.7,78.5,63.9
region,East of England,E12000006,2022-12-24,81.7,78.5,63.9
region,East of England,E12000006,2022-12-23,81.7,78.5,63.9
region,East of England,E12000006,2022-12-22,81.7,78.5,63.9
region,East of England,E12000006,2022-12-21,81.7,78.5,63.9
region,East of England,E12000006,2022-12-20,81.7,78.5,63.9
region,East of England,E12000006,2022-12-19,81.7,78.5,63.9
region,East of England,E12000006,2022-12-18,81.7,78.5,63.9
region,East of England,E12000006,2022-12-17,81.7,78.5,63.9
region,East of England,E12000006,2022-12-16,81.7,78.5,63.9
region,East of England,E12000006,2022-12-15,81.7,78.5,63.9
region,East of England,E12000006,2022-12-14,81.7,78.5,63.9
region,East of England,E12000006,2022-12-13,81.7,78.5,63.9
region,East of England,E12000006,2022-12-12,81.7,78.5,63.9
region,East of England,E12000006,2022-12-11,81.7,78.5,63.9
region,East of England,E12000006,2022-12-10,81.7,78.5,63.9
region,East of England,E12000006,2022-12-09,81.7,78.5,63.9
region,East of England,E12000006,2022-12-08,81.7,78.5,63.9
region,East of England,E12000006,2022-12-07,81.7,78.5,63.9
region,East of England,E12000006,2022-12-06,81.7,78.5,63.9
region,East of England,E12000006,2022-12-05,81.7,78.5,63.9
region,East of England,E12000006,2022-12-04,81.7,78.5,63.9
region,East of England,E12000006,2022-12-03,81.7,78.5,63.9
region,East of England,E12000006,2022-12-02,81.6,78.5,63.9
region,East of England,E12000006,2022-12-01,81.6,78.5,63.9
region,East of England,E12000006,2022-11-30,81.6,78.5,63.9
region,East of England,E12000006,2022-11-29,81.6,78.5,63.9
region,East of England,E12000006,2022-11-28,81.6,78.5,63.9
region,East of England,E12000006,2022-11-27,81.6,78.5,63.9
region,East of England,E12000006,2022-11-26,81.6,78.5,63.9
region,East of England,E12000006,2022-11-25,81.6,78.5,63.9
region,East of England,E12000006,2022-11-24,81.6,78.5,63.9
region,East of England,E12000006,2022-11-23,81.6,78.5,63.9
region,East of England,E12000006,2022-11-22,81.6,78.5,63.9
region,East of England,E12000006,2022-11-21,81.6,78.5,63.9
region,East of England,E12000006,2022-11-20,81.6,78.5,63.8
region,East of England,E12000006,2022-11-19,81.6,78.5,63.8
region,East of England,E12000006,2022-11-18,81.6,78.5,63.8
region,East of England,E12000006,2022-11-17,81.6,78.5,63.8
region,East of England,E12000006,2022-11-16,81.6,78.5,63.8
region,East of England,E12000006,2022-11-15,81.6,78.5,63.8
region,East of England,E12000006,2022-11-14,81.6,78.5,63.8
region,East of England,E12000006,2022-11-13,81.6,78.5,63.8
region,East of England,E12000006,2022-11-12,81.6,78.5,63.8
region,East of England,E12000006,2022-11-11,81.6,78.5,63.8
region,East of England,E12000006,2022-11-10,81.6,78.5,63.8
region,East of England,E12000006,2022-11-09,81.6,78.5,63.8
region,East of England,E12000006,2022-11-08,81.6,78.5,63.8
region,East of England,E12000006,2022-11-07,81.6,78.5,63.8
region,East of England,E12000006,2022-11-06,81.6,78.5,63.8
region,East of England,E12000006,2022-11-05,81.6,78.5,63.8
region,East of England,E12000006,2022-11-04,81.6,78.5,63.8
region,East of England,E12000006,2022-11-03,81.6,78.5,63.7
region,East of England,E12000006,2022-11-02,81.6,78.5,63.7
region,East of England,E12000006,2022-11-01,81.6,78.5,63.7
region,East of England,E12000006,2022-10-31,81.6,78.5,63.7
region,East of England,E12000006,2022-10-30,81.6,78.5,63.7
region,East of England,E12000006,2022-10-29,81.6,78.5,63.7
region,East of England,E12000006,2022-10-28,81.6,78.5,63.7
region,East of England,E12000006,2022-10-27,81.6,78.4,63.7
region,East of England,E12000006,2022-10-26,81.6,78.4,63.7
region,East of England,E12000006,2022-10-25,81.6,78.4,63.7
region,East of England,E12000006,2022-10-24,81.6,78.4,63.7
region,East of England,E12000006,2022-10-23,81.6,78.4,63.7
region,East of England,E12000006,2022-10-22,81.6,78.4,63.7
region,East of England,E12000006,2022-10-21,81.6,78.4,63.6
region,East of England,E12000006,2022-10-20,81.6,78.4,63.6
region,East of England,E12000006,2022-10-19,81.6,78.4,63.6
region,East of England,E12000006,2022-10-18,81.6,78.4,63.6
region,East of England,E12000006,2022-10-17,81.6,78.4,63.6
region,East of England,E12000006,2022-10-16,81.6,78.4,63.6
region,East of England,E12000006,2022-10-15,81.6,78.4,63.6
region,East of England,E12000006,2022-10-14,81.6,78.4,63.6
region,East of England,E12000006,2022-10-13,81.6,78.4,63.6
region,East of England,E12000006,2022-10-12,81.6,78.4,63.6
region,East of England,E12000006,2022-10-11,81.6,78.4,63.5
region,East of England,E12000006,2022-10-10,81.6,78.4,63.5
region,East of England,E12000006,2022-10-09,81.6,78.4,63.5
region,East of England,E12000006,2022-10-08,81.6,78.4,63.5
