areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,London,E12000007,2023-05-10,67.9,63.8,46.6
region,London,E12000007,2023-05-09,67.9,63.8,46.6
region,London,E12000007,2023-05-08,67.9,63.8,46.6
region,London,E12000007,2023-05-07,67.9,63.8,46.6
region,London,E12000007,2023-05-06,67.9,63.8,46.6
region,London,E12000007,2023-05-05,67.9,63.8,46.6
region,London,E12000007,2023-05-04,67.9,63.8,46.6
region,London,E12000007,2023-05-03,67.9,63.8,46.6
region,London,E12000007,2023-05-02,67.9,63.8,46.6
region,London,E12000007,2023-05-01,67.9,63.8,46.6
region,London,E12000007,2023-04-30,67.9,63.8,46.6
region,London,E12000007,2023-04-29,67.9,63.8,46.6
region,London,E12000007,2023-04-28,67.9,63.8,46.6
region,London,E12000007,2023-04-27,67.9,63.8,46.6
region,London,E12000007,2023-04-26,67.9,63.8,46.6
region,London,E12000007,2023-04-25,67.9,63.8,46.6
region,London,E12000007,2023-04-24,67.9,63.8,46.6
region,London,E12000007,2023-04-23,67.9,63.8,46.6
region,London,E12000007,2023-04-22,67.9,63.8,46.6
region,London,E12000007,2023-04-21,67.9,63.8,46.6
region,London,E12000007,2023-04-20,67.9,63.8,46.6
region,London,E12000007,2023-04-19,67.9,63.8,46.6
region,London,E12000007,2023-04-18,67.9,63.8,46.6
region,London,E12000007,2023-04-17,67.9,63.8,46.6
region,London,E12000007,2023-04-16,67.9,63.8,46.6
region,London,E12000007,2023-04-15,67.9,63.8,46.6
region,London,E12000007,2023-04-14,67.9,63.8,46.6
region,London,E12000007,2023-04-13,67.9,63.8,46.6
region,London,E12000007,2023-04-12,67.9,63.8,46.6
region,London,E12000007,2023-04-11,67.9,63.8,46.6
region,London,E12000007,2023-04-10,67.9,63.8,46.6
region,London,E12000007,2023-04-09,67.9,63.8,46.6
region,London,E12000007,2023-04-08,67.9,63.8,46.6
region,London,E12000007,2023-04-07,67.9,63.8,46.6
region,London,E12000007,2023-04-06,67.9,63.8,46.6
region,London,E12000007,2023-04-05,67.9,63.8,46.6
region,London,E12000007,2023-04-04,67.9,63.8,46.6
region,London,E12000007,2023-04-03,67.9,63.8,46.6
region,London,E12000007,2023-04-02,67.9,63.8,46.6
region,London,E12000007,2023-04-01,67.9,63.8,46.6
region,London,E12000007,2023-03-31,67.9,63.8,46.6
region,London,E12000007,2023-03-30,67.9,63.8,46.6
region,London,E12000007,2023-03-29,67.9,63.8,46.6
region,London,E12000007,2023-03-28,67.9,63.8,46.6
region,London,E12000007,2023-03-27,67.9,63.8,46.6
region,London,E12000007,2023-03-26,67.9,63.8,46.6
region,London,E12000007,2023-03-25,67.9,63.8,46.6
region,London,E12000007,2023-03-24,67.9,63.8,46.6
region,London,E12000007,2023-03-23,67.9,63.8,46.6
region,London,E12000007,2023-03-22,67.9,63.8,46.6
region,London,E12000007,2023-03-21,67.9,63.8,46.6
region,London,E12000007,2023-03-20,67.9,63.8,46.6
region,London,E12000007,2023-03-19,67.9,63.8,46.6
region,London,E12000007,2023-03-18,67.9,63.8,46.6
region,London,E12000007,2023-03-17,67.9,63.8,46.6
region,London,E12000007,2023-03-16,67.8,63.8,46.6
region,London,E12000007,2023-03-15,67.8,63.8,46.6
region,London,E12000007,2023-03-14,67.8,63.8,46.6
region,London,E12000007,2023-03-13,67.8,63.8,46.6
region,London,E12000007,2023-03-12,67.8,63.8,46.6
region,London,E12000007,2023-03-11,67.8,63.8,46.6
region,London,E12000007,2023-03-10,67.8,63.8,46.6
region,London,E12000007,2023-03-09,67.8,63.8,46.6
region,London,E12000007,2023-03-08,67.8,63.8,46.6
region,London,E12000007,2023-03-07,67.8,63.8,46.6
region,London,E12000007,2023-03-06,67.8,63.8,46.6
region,London,E12000007,2023-03-05,67.8,63.8,46.6
region,London,E12000007,2023-03-04,67.8,63.8,46.6
region,London,E12000007,2023-03-03,67.8,63.8,46.6
region,London,E12000007,2023-03-02,67.8,63.8,46.6
region,London,E12000007,2023-03-01,67.8,63.8,46.6
