areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,North East,E12000001,2023-05-10,83.0,79.2,64.3
region,North East,E12000001,2023-05-09,83.0,79.2,64.3
region,North East,E12000001,2023-05-08,83.0,79.2,64.3
region,North East,E12000001,2023-05-07,83.0,79.2,64.3
region,North East,E12000001,2023-05-06,83.0,79.2,64.3
region,North East,E12000001,2023-05-05,83.0,79.2,64.3
region,North East,E12000001,2023-05-04,83.0,79.2,64.3
region,North East,E12000001,2023-05-03,83.0,79.2,64.3
region,North East,E12000001,2023-05-02,83.0,79.2,64.3
region,North East,E12000001,2023-05-01,83.0,79.2,64.3
region,North East,E12000001,2023-04-30,83.0,79.2,64.3
region,North East,E12000001,2023-04-29,83.0,79.2,64.3
region,North East,E12000001,2023-04-28,83.0,79.2,64.3
region,North East,E12000001,2023-04-27,83.0,79.2,64.3
region,North East,E12000001,2023-04-26,83.0,79.2,64.3
region,North East,E12000001,2023-04-25,83.0,79.2,64.3
region,North East,E12000001,2023-04-24,83.0,79.2,64.3
region,North East,E12000001,2023-04-23,83.0,79.2,64.3
region,North East,E12000001,2023-04-22,83.0,79.2,64.3
region,North East,E12000001,2023-04-21,83.0,79.2,64.3
region,North East,E12000001,2023-04-20,83.0,79.2,64.3
region,North East,E12000001,2023-04-19,83.0,79.2,64.3
region,North East,E12000001,2023-04-18,82.9,79.2,64.3
region,North East,E12000001,2023-04-17,82.9,79.2,64.3
region,North East,E12000001,2023-04-16,82.9,79.2,64.3
region,North East,E12000001,2023-04-15,82.9,79.2,64.3
region,North East,E12000001,2023-04-14,82.9,79.2,64.3
region,North East,E12000001,2023-04-13,82.9,79.2,64.3
region,North East,E12000001,2023-04-12,82.9,79.2,64.3
region,North East,E12000001,2023-04-11,82.9,79.2,64.3
region,North East,E12000001,2023-04-10,82.9,79.2,64.3
region,North East,E12000001,2023-04-09,82.9,79.2,64.3
region,North East,E12000001,2023-04-08,82.9,79.2,64.3
region,North East,E12000001,2023-04-07,82.9,79.2,64.3
region,North East,E12000001,2023-04-06,82.9,79.2,64.3
region,North East,E12000001,2023-04-05,82.9,79.2,64.3
region,North East,E12000001,2023-04-04,82.9,79.2,64.3
region,North East,E12000001,2023-04-03,82.9,79.2,64.3
region,North East,E12000001,2023-04-02,82.9,79.2,64.3
region,North East,E12000001,2023-04-01,82.9,79.2,64.3
region,North East,E12000001,2023-03-31,82.9,79.2,64.3
region,North East,E12000001,2023-03-30,82.9,79.2,64.3
region,North East,E12000001,2023-03-29,82.9,79.2,64.3
region,North East,E12000001,2023-03-28,82.9,79.2,64.3
region,North East,E12000001,2023-03-27,82.9,79.2,64.3
region,North East,E12000001,2023-03-26,82.9,79.2,64.3
region,North East,E12000001,2023-03-25,82.9,79.2,64.3
region,North East,E12000001,2023-03-24,82.9,79.2,64.3
region,North East,E12000001,2023-03-23,82.9,79.2,64.3
region,North East,E12000001,2023-03-22,82.9,79.2,64.3
region,North East,E12000001,2023-03-21,82.9,79.2,64.3
region,North East,E12000001,2023-03-20,82.9,79.2,64.3
region,North East,E12000001,2023-03-19,82.9,79.2,64.3
region,North East,E12000001,2023-03-18,82.9,79.2,64.3
region,North East,E12000001,2023-03-17,82.9,79.2,64.3
region,North East,E12000001,2023-03-16,82.9,79.2,64.3
region,North East,E12000001,2023-03-15,82.9,79.2,64.3
region,North East,E12000001,2023-03-14,82.9,79.2,64.3
region,North East,E12000001,2023-03-13,82.9,79.2,64.3
region,North East,E12000001,2023-03-12,82.9,79.2,64.3
region,North East,E12000001,2023-03-11,82.9,79.2,64.3
region,North East,E12000001,2023-03-10,82.9,79.2,64.3
region,North East,E12000001,2023-03-09,82.9,79.2,64.3
region,North East,E12000001,2023-03-08,82.9,79.2,64.3
region,North East,E12000001,2023-03-07,82.9,79.2,64.3
region,North East,E12000001,2023-03-06,82.9,79.2,64.3
region,North East,E12000001,2023-03-05,82.9,79.2,64.3
region,North East,E12000001,2023-03-04,82.9,79.2,64.3
region,North East,E12000001,2023-03-03,82.9,79.2,64.3
region,North East,E12000001,2023-03-02,82.9,79.2,64.3
region,North East,E12000001,2023-03-01,82.9,79.2,64.3
region,North East,E12000001,2023-02-28,82.9,79.2,64.3
region,North East,E12000001,2023-02-27,82.9,79.2,64.3
region,North East,E12000001,2023-02-26,82.9,79.2,64.3
region,North East,E12000001,2023-02-25,82.9,79.2,64.3
region,North East,E12000001,2023-02-24,82.9,79.2,64.3
region,North East,E12000001,2023-02-23,82.9,79.2,64.3
region,North East,E12000001,2023-02-22,82.9,79.2,64.3
region,North East,E12000001,2023-02-21,82.9,79.2,64.3
region,North East,E12000001,2023-02-20,82.9,79.2,64.3
region,North East,E12000001,2023-02-19,82.9,79.2,64.3
region,North East,E12000001,2023-02-18,82.9,79.2,64.3
region,North East,E12000001,2023-02-17,82.9,79.2,64.3
region,North East,E12000001,2023-02-16,82.9,79.2,64.3
region,North East,E12000001,2023-02-15,82.9,79.2,64.3
region,North East,E12000001,2023-02-14,82.9,79.2,64.3
region,North East,E12000001,2023-02-13,82.9,79.2,64.3
