areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,North West,E12000002,2023-05-10,79.5,75.8,59.3
region,North West,E12000002,2023-05-09,79.5,75.8,59.3
region,North West,E12000002,2023-05-08,79.5,75.8,59.3
region,North West,E12000002,2023-05-07,79.5,75.8,59.3
region,North West,E12000002,2023-05-06,79.5,75.8,59.3
region,North West,E12000002,2023-05-05,79.5,75.8,59.3
region,North West,E12000002,2023-05-04,79.5,75.8,59.3
region,North West,E12000002,2023-05-03,79.5,75.8,59.3
region,North West,E12000002,2023-05-02,79.5,75.8,59.3
region,North West,E12000002,2023-05-01,79.5,75.8,59.3
region,North West,E12000002,2023-04-30,79.5,75.8,59.3
region,North West,E12000002,2023-04-29,79.5,75.8,59.3
region,North West,E12000002,2023-04-28,79.5,75.8,59.3
region,North West,E12000002,2023-04-27,79.5,75.7,59.3
region,North West,E12000002,2023-04-26,79.5,75.7,59.3
region,North West,E12000002,2023-04-25,79.5,75.7,59.3
region,North West,E12000002,2023-04-24,79.5,75.7,59.3
region,North West,E12000002,2023-04-23,79.5,75.7,59.3
region,North West,E12000002,2023-04-22,79.5,75.7,59.3
region,North West,E12000002,2023-04-21,79.5,75.7,59.3
region,North West,E12000002,2023-04-20,79.5,75.7,59.3
region,North West,E12000002,2023-04-19,79.5,75.7,59.3
region,North West,E12000002,2023-04-18,79.5,75.7,59.3
region,North West,E12000002,2023-04-17,79.5,75.7,59.3
region,North West,E12000002,2023-04-16,79.5,75.7,59.3
region,North West,E12000002,2023-04-15,79.5,75.7,59.3
region,North West,E12000002,2023-04-14,79.5,75.7,59.3
region,North West,E12000002,2023-04-13,79.5,75.7,59.3
region,North West,E12000002,2023-04-12,79.5,75.7,59.3
region,North West,E12000002,2023-04-11,79.5,75.7,59.3
region,North West,E12000002,2023-04-10,79.5,75.7,59.3
region,North West,E12000002,2023-04-09,79.5,75.7,59.3
region,North West,E12000002,2023-04-08,79.5,75.7,59.3
region,North West,E12000002,2023-04-07,79.5,75.7,59.3
region,North West,E12000002,2023-04-06,79.5,75.7,59.3
region,North West,E12000002,2023-04-05,79.5,75.7,59.3
region,North West,E12000002,2023-04-04,79.5,75.7,59.3
region,North West,E12000002,2023-04-03,79.5,75.7,59.3
region,North West,E12000002,2023-04-02,79.5,75.7,59.3
region,North West,E12000002,2023-04-01,79.5,75.7,59.3
region,North West,E12000002,2023-03-31,79.5,75.7,59.3
region,North West,E12000002,2023-03-30,79.5,75.7,59.3
region,North West,E12000002,2023-03-29,79.5,75.7,59.3
region,North West,E12000002,2023-03-28,79.5,75.7,59.3
region,North West,E12000002,2023-03-27,79.5,75.7,59.3
region,North West,E12000002,2023-03-26,79.5,75.7,59.3
region,North West,E12000002,2023-03-25,79.5,75.7,59.3
region,North West,E12000002,2023-03-24,79.5,75.7,59.3
region,North West,E12000002,2023-03-23,79.5,75.7,59.3
region,North West,E12000002,2023-03-22,79.5,75.7,59.3
region,North West,E12000002,2023-03-21,79.5,75.7,59.3
region,North West,E12000002,2023-03-20,79.5,75.7,59.3
region,North West,E12000002,2023-03-19,79.5,75.7,59.3
region,North West,E12000002,2023-03-18,79.5,75.7,59.3
region,North West,E12000002,2023-03-17,79.5,75.7,59.3
region,North West,E12000002,2023-03-16,79.5,75.7,59.3
region,North West,E12000002,2023-03-15,79.5,75.7,59.3
region,North West,E12000002,2023-03-14,79.5,75.7,59.3
region,North West,E12000002,2023-03-13,79.5,75.7,59.3
region,North West,E12000002,2023-03-12,79.5,75.7,59.3
region,North West,E12000002,2023-03-11,79.5,75.7,59.3
region,North West,E12000002,2023-03-10,79.5,75.7,59.3
region,North West,E12000002,2023-03-09,79.5,75.7,59.3
region,North West,E12000002,2023-03-08,79.5,75.7,59.3
region,North West,E12000002,2023-03-07,79.5,75.7,59.3
region,North West,E12000002,2023-03-06,79.5,75.7,59.3
region,North West,E12000002,2023-03-05,79.5,75.7,59.3
region,North West,E12000002,2023-03-04,79.5,75.7,59.3
region,North West,E12000002,2023-03-03,79.5,75.7,59.3
region,North West,E12000002,2023-03-02,79.5,75.7,59.3
region,North West,E12000002,2023-03-01,79.5,75.7,59.3
region,North West,E12000002,2023-02-28,79.5,75.7,59.3
region,North West,E12000002,2023-02-27,79.5,75.7,59.3
region,North West,E12000002,2023-02-26,79.5,75.7,59.3
region,North West,E12000002,2023-02-25,79.5,75.7,59.3
region,North West,E12000002,2023-02-24,79.5,75.7,59.3
region,North West,E12000002,2023-02-23,79.5,75.7,59.3
region,North West,E12000002,2023-02-22,79.5,75.7,59.3
region,North West,E12000002,2023-02-21,79.5,75.7,59.3
region,North West,E12000002,2023-02-20,79.5,75.7,59.3
region,North West,E12000002,2023-02-19,79.5,75.7,59.3
region,North West,E12000002,2023-02-18,79.5,75.7,59.3
region,North West,E12000002,2023-02-17,79.5,75.7,59.3
region,North West,E12000002,2023-02-16,79.5,75.7,59.3
region,North West,E12000002,2023-02-15,79.5,75.7,59.3
region,North West,E12000002,2023-02-14,79.5,75.7,59.3
region,North West,E12000002,2023-02-13,79.5,75.7,59.3
region,North West,E12000002,2023-02-12,79.5,75.7,59.3
region,North West,E12000002,2023-02-11,79.5,75.7,59.3
region,North West,E12000002,2023-02-10,79.5,75.7,59.3
region,North West,E12000002,2023-02-09,79.5,75.7,59.3
region,North West,E12000002,2023-02-08,79.5,75.7,59.3
region,North West,E12000002,2023-02-07,79.5,75.7,59.3
region,North West,E12000002,2023-02-06,79.5,75.7,59.3
region,North West,E12000002,2023-02-05,79.5,75.7,59.3
region,North West,E12000002,2023-02-04,79.5,75.7,59.3
region,North West,E12000002,2023-02-03,79.5,75.7,59.3
region,North West,E12000002,2023-02-02,79.5,75.7,59.3
region,North West,E12000002,2023-02-01,79.5,75.7,59.3
region,North West,E12000002,2023-01-31,79.5,75.7,59.3
region,North West,E12000002,2023-01-30,79.5,75.7,59.3
region,North West,E12000002,2023-01-29,79.5,75.7,59.3
region,North West,E12000002,2023-01-28,79.5,75.7,59.3
region,North West,E12000002,2023-01-27,79.5,75.7,59.3
region,North West,E12000002,2023-01-26,79.4,75.7,59.3
region,North West,E12000002,2023-01-25,79.4,75.7,59.3
region,North West,E12000002,2023-01-24,79.4,75.7,59.3
region,North West,E12000002,2023-01-23,79.4,75.7,59.3
region,North West,E12000002,2023-01-22,79.4,75.7,59.3
region,North West,E12000002,2023-01-21,79.4,75.7,59.3
region,North West,E12000002,2023-01-20,79.4,75.7,59.2
region,North West,E12000002,2023-01-19,79.4,75.7,59.2
region,North West,E12000002,2023-01-18,79.4,75.7,59.2
region,North West,E12000002,2023-01-17,79.4,75.7,59.2
region,North West,E12000002,2023-01-16,79.4,75.7,59.2
region,North West,E12000002,2023-01-15,79.4,75.7,59.2
region,North West,E12000002,2023-01-14,79.4,75.7,59.2
region,North West,E12000002,2023-01-13,79.4,75.7,59.2
region,North West,E12000002,2023-01-12,79.4,75.7,59.2
region,North West,E12000002,2023-01-11,79.4,75.7,59.2
region,North West,E12000002,2023-01-10,79.4,75.7,59.2
region,North West,E12000002,2023-01-09,79.4,75.7,59.2
region,North West,E12000002,2023-01-08,79.4,75.7,59.2
region,North West,E12000002,2023-01-07,79.4,75.7,59.2
region,North West,E12000002,2023-01-06,79.4,75.7,59.2
region,North West,E12000002,2023-01-05,79.4,75.7,59.2
region,North West,E12000002,2023-01-04,79.4,75.7,59.2
region,North West,E12000002,2023-01-03,79.4,75.7,59.2
region,North West,E12000002,2023-01-02,79.4,75.7,59.2
region,North West,E12000002,2023-01-01,79.4,75.7,59.2
region,North West,E12000002,2022-12-31,79.4,75.7,59.2
region,North West,E12000002,2022-12-30,79.4,75.7,59.2
region,North West,E12000002,2022-12-29,79.4,75.7,59.2
region,North West,E12000002,2022-12-28,79.4,75.7,59.2
region,North West,E12000002,2022-12-27,79.4,75.7,59.2
region,North West,E12000002,2022-12-26,79.4,75.7,59.2
region,North West,E12000002,2022-12-25,79.4,75.7,59.2
region,North West,E12000002,2022-12-24,79.4,75.7,59.2
region,North West,E12000002,2022-12-23,79.4,75.7,59.2
region,North West,E12000002,2022-12-22,79.4,75.7,59.2
region,North West,E12000002,2022-12-21,79.4,75.7,59.2
region,North West,E12000002,2022-12-20,79.4,75.7,59.2
region,North West,E12000002,2022-12-19,79.4,75.7,59.2
region,North West,E12000002,2022-12-18,79.4,75.7,59.2
region,North West,E12000002,2022-12-17,79.4,75.7,59.2
region,North West,E12000002,2022-12-16,79.4,75.7,59.2
region,North West,E12000002,2022-12-15,79.4,75.7,59.2
region,North West,E12000002,2022-12-14,79.4,75.7,59.2
region,North West,E12000002,2022-12-13,79.4,75.7,59.2
region,North West,E12000002,2022-12-12,79.4,75.7,59.2
region,North West,E12000002,2022-12-11,79.4,75.6,59.2
region,North West,E12000002,2022-12-10,79.4,75.6,59.2
region,North West,E12000002,2022-12-09,79.4,75.6,59.2
region,North West,E12000002,2022-12-08,79.4,75.6,59.2
region,North West,E12000002,2022-12-07,79.4,75.6,59.2
region,North West,E12000002,2022-12-06,79.4,75.6,59.2
region,North West,E12000002,2022-12-05,79.4,75.6,59.2
region,North West,E12000002,2022-12-04,79.4,75.6,59.2
region,North West,E12000002,2022-12-03,79.4,75.6,59.2
region,North West,E12000002,2022-12-02,79.4,75.6,59.2
region,North West,E12000002,2022-12-01,79.4,75.6,59.2
region,North West,E12000002,2022-11-30,79.4,75.6,59.2
region,North West,E12000002,2022-11-29,79.4,75.6,59.2
region,North West,E12000002,2022-11-28,79.4,75.6,59.2
region,North West,E12000002,2022-11-27,79.4,75.6,59.2
region,North West,E12000002,2022-11-26,79.4,75.6,59.2
region,North West,E12000002,2022-11-25,79.4,75.6,59.1
region,North West,E12000002,2022-11-24,79.4,75.6,59.1
region,North West,E12000002,2022-11-23,79.4,75.6,59.1
region,North West,E12000002,2022-11-22,79.4,75.6,59.1
region,North West,E12000002,2022-11-21,79.4,75.6,59.1
region,North West,E12000002,2022-11-20,79.4,75.6,59.1
region,North West,E12000002,2022-11-19,79.4,75.6,59.1
region,North West,E12000002,2022-11-18,79.4,75.6,59.1
region,North West,E12000002,2022-11-17,79.4,75.6,59.1
region,North West,E12000002,2022-11-16,79.4,75.6,59.1
region,North West,E12000002,2022-11-15,79.4,75.6,59.1
region,North West,E12000002,2022-11-14,79.4,75.6,59.1
region,North West,E12000002,2022-11-13,79.4,75.6,59.1
region,North West,E12000002,2022-11-12,79.4,75.6,59.1
region,North West,E12000002,2022-11-11,79.4,75.6,59.1
region,North West,E12000002,2022-11-10,79.4,75.6,59.1
region,North West,E12000002,2022-11-09,79.4,75.6,59.1
region,North West,E12000002,2022-11-08,79.4,75.6,59.1
region,North West,E12000002,2022-11-07,79.4,75.6,59.1
region,North West,E12000002,2022-11-06,79.4,75.6,59.0
region,North West,E12000002,2022-11-05,79.4,75.6,59.0
region,North West,E12000002,2022-11-04,79.4,75.6,59.0
region,North West,E12000002,2022-11-03,79.4,75.6,59.0
region,North West,E12000002,2022-11-02,79.4,75.6,59.0
region,North West,E12000002,2022-11-01,79.4,75.6,59.0
region,North West,E12000002,2022-10-31,79.4,75.6,59.0
region,North West,E12000002,2022-10-30,79.4,75.6,59.0
region,North West,E12000002,2022-10-29,79.4,75.6,59.0
region,North West,E12000002,2022-10-28,79.4,75.6,59.0
region,North West,E12000002,2022-10-27,79.4,75.6,59.0
region,North West,E12000002,2022-10-26,79.4,75.6,59.0
region,North West,E12000002,2022-10-25,79.4,75.6,59.0
region,North West,E12000002,2022-10-24,79.4,75.6,59.0
region,North West,E12000002,2022-10-23,79.4,75.6,58.9
region,North West,E12000002,2022-10-22,79.4,75.6,58.9
region,North West,E12000002,2022-10-21,79.4,75.6,58.9
