areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,South East,E12000008,2023-05-10,83.1,80.0,65.9
region,South East,E12000008,2023-05-09,83.1,80.0,65.9
region,South East,E12000008,2023-05-08,83.1,80.0,65.9
region,South East,E12000008,2023-05-07,83.1,80.0,65.9
region,South East,E12000008,2023-05-06,83.1,80.0,65.9
region,South East,E12000008,2023-05-05,83.1,80.0,65.9
region,South East,E12000008,2023-05-04,83.1,80.0,65.9
region,South East,E12000008,2023-05-03,83.1,80.0,65.9
region,South East,E12000008,2023-05-02,83.1,80.0,65.9
region,South East,E12000008,2023-05-01,83.1,80.0,65.9
region,South East,E12000008,2023-04-30,83.1,80.0,65.9
region,South East,E12000008,2023-04-29,83.1,80.0,65.9
region,South East,E12000008,2023-04-28,83.1,80.0,65.9
region,South East,E12000008,2023-04-27,83.1,80.0,65.9
region,South East,E12000008,2023-04-26,83.1,80.0,65.9
region,South East,E12000008,2023-04-25,83.1,80.0,65.9
region,South East,E12000008,2023-04-24,83.1,80.0,65.9
region,South East,E12000008,2023-04-23,83.1,80.0,65.9
region,South East,E12000008,2023-04-22,83.1,80.0,65.9
region,South East,E12000008,2023-04-21,83.1,80.0,65.9
region,South East,E12000008,2023-04-20,83.1,80.0,65.9
region,South East,E12000008,2023-04-19,83.1,80.0,65.9
region,South East,E12000008,2023-04-18,83.1,80.0,65.9
region,South East,E12000008,2023-04-17,83.1,80.0,65.9
region,South East,E12000008,2023-04-16,83.1,80.0,65.9
region,South East,E12000008,2023-04-15,83.1,80.0,65.9
region,South East,E12000008,2023-04-14,83.1,80.0,65.9
region,South East,E12000008,2023-04-13,83.1,80.0,65.9
region,South East,E12000008,2023-04-12,83.1,80.0,65.9
region,South East,E12000008,2023-04-11,83.1,80.0,65.9
region,South East,E12000008,2023-04-10,83.1,80.0,65.9
region,South East,E12000008,2023-04-09,83.1,80.0,65.9
region,South East,E12000008,2023-04-08,83.1,80.0,65.9
region,South East,E12000008,2023-04-07,83.1,80.0,65.9
region,South East,E12000008,2023-04-06,83.1,80.0,65.9
region,South East,E12000008,2023-04-05,83.1,80.0,65.9
region,South East,E12000008,2023-04-04,83.1,80.0,65.9
region,South East,E12000008,2023-04-03,83.1,80.0,65.9
region,South East,E12000008,2023-04-02,83.1,80.0,65.9
region,South East,E12000008,2023-04-01,83.1,80.0,65.9
region,South East,E12000008,2023-03-31,83.1,80.0,65.9
region,South East,E12000008,2023-03-30,83.1,80.0,65.9
region,South East,E12000008,2023-03-29,83.1,80.0,65.9
region,South East,E12000008,2023-03-28,83.1,80.0,65.9
region,South East,E12000008,2023-03-27,83.1,80.0,65.9
region,South East,E12000008,2023-03-26,83.1,80.0,65.9
region,South East,E12000008,2023-03-25,83.1,80.0,65.9
region,South East,E12000008,2023-03-24,83.1,80.0,65.9
region,South East,E12000008,2023-03-23,83.1,80.0,65.9
region,South East,E12000008,2023-03-22,83.1,80.0,65.9
region,South East,E12000008,2023-03-21,83.1,80.0,65.9
region,South East,E12000008,2023-03-20,83.1,80.0,65.9
region,South East,E12000008,2023-03-19,83.1,80.0,65.9
region,South East,E12000008,2023-03-18,83.1,80.0,65.9
region,South East,E12000008,2023-03-17,83.1,80.0,65.9
region,South East,E12000008,2023-03-16,83.1,80.0,65.9
region,South East,E12000008,2023-03-15,83.1,80.0,65.9
region,South East,E12000008,2023-03-14,83.1,80.0,65.9
region,South East,E12000008,2023-03-13,83.1,80.0,65.9
region,South East,E12000008,2023-03-12,83.1,79.9,65.9
region,South East,E12000008,2023-03-11,83.1,79.9,65.9
region,South East,E12000008,2023-03-10,83.1,79.9,65.9
region,South East,E12000008,2023-03-09,83.1,79.9,65.9
region,South East,E12000008,2023-03-08,83.1,79.9,65.9
region,South East,E12000008,2023-03-07,83.1,79.9,65.9
region,South East,E12000008,2023-03-06,83.1,79.9,65.9
region,South East,E12000008,2023-03-05,83.1,79.9,65.9
region,South East,E12000008,2023-03-04,83.1,79.9,65.9
region,South East,E12000008,2023-03-03,83.1,79.9,65.9
region,South East,E12000008,2023-03-02,83.1,79.9,65.9
region,South East,E12000008,2023-03-01,83.1,79.9,65.9
region,South East,E12000008,2023-02-28,83.1,79.9,65.9
region,South East,E12000008,2023-02-27,83.1,79.9,65.9
region,South East,E12000008,2023-02-26,83.1,79.9,65.9
region,South East,E12000008,2023-02-25,83.1,79.9,65.9
region,South East,E12000008,2023-02-24,83.1,79.9,65.9
region,South East,E12000008,2023-02-23,83.1,79.9,65.9
region,South East,E12000008,2023-02-22,83.1,79.9,65.9
region,South East,E12000008,2023-02-21,83.1,79.9,65.9
region,South East,E12000008,2023-02-20,83.1,79.9,65.9
region,South East,E12000008,2023-02-19,83.1,79.9,65.9
region,South East,E12000008,2023-02-18,83.1,79.9,65.9
region,South East,E12000008,2023-02-17,83.1,79.9,65.9
region,South East,E12000008,2023-02-16,83.1,79.9,65.9
region,South East,E12000008,2023-02-15,83.1,79.9,65.9
region,South East,E12000008,2023-02-14,83.1,79.9,65.9
region,South East,E12000008,2023-02-13,83.1,79.9,65.9
region,South East,E12000008,2023-02-12,83.1,79.9,65.9
region,South East,E12000008,2023-02-11,83.1,79.9,65.9
region,South East,E12000008,2023-02-10,83.1,79.9,65.8
region,South East,E12000008,2023-02-09,83.1,79.9,65.8
region,South East,E12000008,2023-02-08,83.1,79.9,65.8
region,South East,E12000008,2023-02-07,83.1,79.9,65.8
region,South East,E12000008,2023-02-06,83.1,79.9,65.8
region,South East,E12000008,2023-02-05,83.1,79.9,65.8
region,South East,E12000008,2023-02-04,83.1,79.9,65.8
region,South East,E12000008,2023-02-03,83.1,79.9,65.8
region,South East,E12000008,2023-02-02,83.1,79.9,65.8
region,South East,E12000008,2023-02-01,83.1,79.9,65.8
region,South East,E12000008,2023-01-31,83.1,79.9,65.8
region,South East,E12000008,2023-01-30,83.0,79.9,65.8
region,South East,E12000008,2023-01-29,83.0,79.9,65.8
region,South East,E12000008,2023-01-28,83.0,79.9,65.8
region,South East,E12000008,2023-01-27,83.0,79.9,65.8
region,South East,E12000008,2023-01-26,83.0,79.9,65.8
region,South East,E12000008,2023-01-25,83.0,79.9,65.8
region,South East,E12000008,2023-01-24,83.0,79.9,65.8
region,South East,E12000008,2023-01-23,83.0,79.9,65.8
region,South East,E12000008,2023-01-22,83.0,79.9,65.8
region,South East,E12000008,2023-01-21,83.0,79.9,65.8
region,South East,E12000008,2023-01-20,83.0,79.9,65.8
region,South East,E12000008,2023-01-19,83.0,79.9,65.8
region,South East,E12000008,2023-01-18,83.0,79.9,65.8
region,South East,E12000008,2023-01-17,83.0,79.9,65.8
region,South East,E12000008,2023-01-16,83.0,79.9,65.8
region,South East,E12000008,2023-01-15,83.0,79.9,65.8
region,South East,E12000008,2023-01-14,83.0,79.9,65.8
region,South East,E12000008,2023-01-13,83.0,79.9,65.8
region,South East,E12000008,2023-01-12,83.0,79.9,65.8
region,South East,E12000008,2023-01-11,83.0,79.9,65.8
region,South East,E12000008,2023-01-10,83.0,79.9,65.8
region,South East,E12000008,2023-01-09,83.0,79.9,65.8
region,South East,E12000008,2023-01-08,83.0,79.9,65.8
region,South East,E12000008,2023-01-07,83.0,79.9,65.8
region,South East,E12000008,2023-01-06,83.0,79.9,65.8
region,South East,E12000008,2023-01-05,83.0,79.9,65.8
region,South East,E12000008,2023-01-04,83.0,79.9,65.8
region,South East,E12000008,2023-01-03,83.0,79.9,65.8
region,South East,E12000008,2023-01-02,83.0,79.9,65.8
region,South East,E12000008,2023-01-01,83.0,79.9,65.8
region,South East,E12000008,2022-12-31,83.0,79.9,65.8
region,South East,E12000008,2022-12-30,83.0,79.9,65.8
region,South East,E12000008,2022-12-29,83.0,79.9,65.8
region,South East,E12000008,2022-12-28,83.0,79.9,65.8
region,South East,E12000008,2022-12-27,83.0,79.9,65.8
region,South East,E12000008,2022-12-26,83.0,79.9,65.8
region,South East,E12000008,2022-12-25,83.0,79.9,65.8
region,South East,E12000008,2022-12-24,83.0,79.9,65.8
region,South East,E12000008,2022-12-23,83.0,79.9,65.8
region,South East,E12000008,2022-12-22,83.0,79.9,65.8
region,South East,E12000008,2022-12-21,83.0,79.9,65.8
region,South East,E12000008,2022-12-20,83.0,79.9,65.8
region,South East,E12000008,2022-12-19,83.0,79.9,65.8
region,South East,E12000008,2022-12-18,83.0,79.9,65.8
region,South East,E12000008,2022-12-17,83.0,79.9,65.8
region,South East,E12000008,2022-12-16,83.0,79.9,65.8
region,South East,E12000008,2022-12-15,83.0,79.9,65.8
region,South East,E12000008,2022-12-14,83.0,79.9,65.8
region,South East,E12000008,2022-12-13,83.0,79.9,65.8
region,South East,E12000008,2022-12-12,83.0,79.9,65.8
region,South East,E12000008,2022-12-11,83.0,79.9,65.7
region,South East,E12000008,2022-12-10,83.0,79.9,65.7
region,South East,E12000008,2022-12-09,83.0,79.9,65.7
region,South East,E12000008,2022-12-08,83.0,79.9,65.7
region,South East,E12000008,2022-12-07,83.0,79.9,65.7
region,South East,E12000008,2022-12-06,83.0,79.9,65.7
region,South East,E12000008,2022-12-05,83.0,79.9,65.7
region,South East,E12000008,2022-12-04,83.0,79.9,65.7
region,South East,E12000008,2022-12-03,83.0,79.9,65.7
region,South East,E12000008,2022-12-02,83.0,79.8,65.7
region,South East,E12000008,2022-12-01,83.0,79.8,65.7
region,South East,E12000008,2022-11-30,83.0,79.8,65.7
region,South East,E12000008,2022-11-29,83.0,79.8,65.7
region,South East,E12000008,2022-11-28,83.0,79.8,65.7
region,South East,E12000008,2022-11-27,83.0,79.8,65.7
region,South East,E12000008,2022-11-26,83.0,79.8,65.7
region,South East,E12000008,2022-11-25,83.0,79.8,65.7
region,South East,E12000008,2022-11-24,83.0,79.8,65.7
region,South East,E12000008,2022-11-23,83.0,79.8,65.7
region,South East,E12000008,2022-11-22,83.0,79.8,65.7
region,South East,E12000008,2022-11-21,83.0,79.8,65.7
region,South East,E12000008,2022-11-20,83.0,79.8,65.7
region,South East,E12000008,2022-11-19,83.0,79.8,65.7
region,South East,E12000008,2022-11-18,83.0,79.8,65.7
region,South East,E12000008,2022-11-17,83.0,79.8,65.7
region,South East,E12000008,2022-11-16,83.0,79.8,65.6
region,South East,E12000008,2022-11-15,83.0,79.8,65.6
region,South East,E12000008,2022-11-14,83.0,79.8,65.6
region,South East,E12000008,2022-11-13,83.0,79.8,65.6
region,South East,E12000008,2022-11-12,83.0,79.8,65.6
region,South East,E12000008,2022-11-11,83.0,79.8,65.6
region,South East,E12000008,2022-11-10,83.0,79.8,65.6
region,South East,E12000008,2022-11-09,83.0,79.8,65.6
region,South East,E12000008,2022-11-08,83.0,79.8,65.6
region,South East,E12000008,2022-11-07,83.0,79.8,65.6
region,South East,E12000008,2022-11-06,83.0,79.8,65.6
region,South East,E12000008,2022-11-05,83.0,79.8,65.6
region,South East,E12000008,2022-11-04,83.0,79.8,65.6
region,South East,E12000008,2022-11-03,83.0,79.8,65.6
region,South East,E12000008,2022-11-02,83.0,79.8,65.5
region,South East,E12000008,2022-11-01,83.0,79.8,65.5
region,South East,E12000008,2022-10-31,83.0,79.8,65.5
region,South East,E12000008,2022-10-30,83.0,79.8,65.5
region,South East,E12000008,2022-10-29,83.0,79.8,65.5
region,South East,E12000008,2022-10-28,83.0,79.8,65.5
region,South East,E12000008,2022-10-27,83.0,79.8,65.5
region,South East,E12000008,2022-10-26,82.9,79.8,65.5
region,South East,E12000008,2022-10-25,82.9,79.8,65.5
region,South East,E12000008,2022-10-24,82.9,79.8,65.5
region,South East,E12000008,2022-10-23,82.9,79.7,65.5
region,South East,E12000008,2022-10-22,82.9,79.7,65.5
region,South East,E12000008,2022-10-21,82.9,79.7,65.4
region,South East,E12000008,2022-10-20,82.9,79.7,65.4
region,South East,E12000008,2022-10-19,82.9,79.7,65.4
region,South East,E12000008,2022-10-18,82.9,79.7,65.4
region,South East,E12000008,2022-10-17,82.9,79.7,65.4
region,South East,E12000008,2022-10-16,82.9,79.7,65.4
region,South East,E12000008,2022-10-15,82.9,79.7,65.4
region,South East,E12000008,2022-10-14,82.9,79.7,65.4
region,South East,E12000008,2022-10-13,82.9,79.7,65.4
region,South East,E12000008,2022-10-12,82.9,79.7,65.4
region,South East,E12000008,2022-10-11,82.9,79.7,65.3
region,South East,E12000008,2022-10-10,82.9,79.7,65.3
region,South East,E12000008,2022-10-09,82.9,79.7,65.3
region,South East,E12000008,2022-10-08,82.9,79.7,65.3
region,South East,E12000008,2022-10-07,82.9,79.7,65.3
region,South East,E12000008,2022-10-06,82.9,79.7,65.3
region,South East,E12000008,2022-10-05,82.9,79.7,65.3
region,South East,E12000008,2022-10-04,82.9,79.7,65.3
region,South East,E12000008,2022-10-03,82.9,79.7,65.3
region,South East,E12000008,2022-10-02,82.9,79.7,65.3
region,South East,E12000008,2022-10-01,82.9,79.7,65.3
region,South East,E12000008,2022-09-30,82.9,79.7,65.3
region,South East,E12000008,2022-09-29,82.9,79.7,65.3
region,South East,E12000008,2022-09-28,82.9,79.7,65.3
region,South East,E12000008,2022-09-27,82.9,79.7,65.2
region,South East,E12000008,2022-09-26,82.9,79.7,65.2
region,South East,E12000008,2022-09-25,82.9,79.7,65.2
region,South East,E12000008,2022-09-24,82.9,79.7,65.2
region,South East,E12000008,2022-09-23,82.9,79.7,65.2
region,South East,E12000008,2022-09-22,82.9,79.6,65.2
region,South East,E12000008,2022-09-21,82.9,79.6,65.2
region,South East,E12000008,2022-09-20,82.9,79.6,65.2
region,South East,E12000008,2022-09-19,82.9,79.6,65.2
region,South East,E12000008,2022-09-18,82.9,79.6,65.2
region,South East,E12000008,2022-09-17,82.9,79.6,65.2
region,South East,E12000008,2022-09-16,82.9,79.6,65.2
region,South East,E12000008,2022-09-15,82.9,79.6,65.2
region,South East,E12000008,2022-09-14,82.9,79.6,65.2
region,South East,E12000008,2022-09-13,82.9,79.6,65.2
region,South East,E12000008,2022-09-12,82.9,79.6,65.2
