areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,South West,E12000009,2023-05-10,85.3,82.1,69.0
region,South West,E12000009,2023-05-09,85.3,82.1,69.0
region,South West,E12000009,2023-05-08,85.3,82.1,69.0
region,South West,E12000009,2023-05-07,85.3,82.1,69.0
region,South West,E12000009,2023-05-06,85.3,82.1,69.0
region,South West,E12000009,2023-05-05,85.3,82.1,69.0
region,South West,E12000009,2023-05-04,85.3,82.1,69.0
region,South West,E12000009,2023-05-03,85.3,82.1,69.0
region,South West,E12000009,2023-05-02,85.3,82.1,69.0
region,South West,E12000009,2023-05-01,85.3,82.1,69.0
region,South West,E12000009,2023-04-30,85.3,82.1,69.0
region,South West,E12000009,2023-04-29,85.3,82.1,69.0
region,South West,E12000009,2023-04-28,85.3,82.1,69.0
region,South West,E12000009,2023-04-27,85.3,82.1,69.0
region,South West,E12000009,2023-04-26,85.3,82.1,69.0
region,South West,E12000009,2023-04-25,85.3,82.1,69.0
region,South West,E12000009,2023-04-24,85.3,82.1,69.0
region,South West,E12000009,2023-04-23,85.3,82.1,69.0
region,South West,E12000009,2023-04-22,85.3,82.1,69.0
region,South West,E12000009,2023-04-21,85.3,82.1,69.0
region,South West,E12000009,2023-04-20,85.3,82.1,69.0
region,South West,E12000009,2023-04-19,85.3,82.1,69.0
region,South West,E12000009,2023-04-18,85.3,82.1,69.0
region,South West,E12000009,2023-04-17,85.3,82.1,69.0
region,South West,E12000009,2023-04-16,85.3,82.1,69.0
region,South West,E12000009,2023-04-15,85.3,82.1,69.0
region,South West,E12000009,2023-04-14,85.3,82.1,69.0
region,South West,E12000009,2023-04-13,85.3,82.1,69.0
region,South West,E12000009,2023-04-12,85.3,82.1,69.0
region,South West,E12000009,2023-04-11,85.3,82.1,69.0
region,South West,E12000009,2023-04-10,85.3,82.1,69.0
region,South West,E12000009,2023-04-09,85.3,82.1,69.0
region,South West,E12000009,2023-04-08,85.3,82.1,69.0
region,South West,E12000009,2023-04-07,85.3,82.1,69.0
region,South West,E12000009,2023-04-06,85.3,82.1,69.0
region,South West,E12000009,2023-04-05,85.3,82.1,69.0
region,South West,E12000009,2023-04-04,85.3,82.1,69.0
region,South West,E12000009,2023-04-03,85.3,82.1,69.0
region,South West,E12000009,2023-04-02,85.3,82.1,69.0
region,South West,E12000009,2023-04-01,85.3,82.1,69.0
region,South West,E12000009,2023-03-31,85.3,82.1,69.0
region,South West,E12000009,2023-03-30,85.3,82.1,69.0
region,South West,E12000009,2023-03-29,85.3,82.1,69.0
