areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
nation,Wales,W92000004,2023-03-29,94.2,90.0,75.6
nation,Wales,W92000004,2023-03-28,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-27,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-26,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-25,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-24,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-23,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-22,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-21,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-20,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-19,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-18,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-17,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-16,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-15,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-14,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-13,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-12,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-11,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-10,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-09,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-08,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-07,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-06,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-05,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-04,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-03,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-02,94.2,90.0,75.5
nation,Wales,W92000004,2023-03-01,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-28,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-27,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-26,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-25,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-24,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-23,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-22,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-21,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-20,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-19,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-18,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-17,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-16,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-15,94.2,90.0,75.5
nation,Wales,W92000004,2023-02-14,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-13,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-12,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-11,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-10,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-09,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-08,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-07,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-06,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-05,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-04,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-03,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-02,94.2,89.9,75.5
nation,Wales,W92000004,2023-02-01,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-31,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-30,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-29,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-28,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-27,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-26,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-25,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-24,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-23,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-22,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-21,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-20,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-19,94.2,89.9,75.5
nation,Wales,W92000004,2023-01-18,94.2,89.9,75.4
nation,Wales,W92000004,2023-01-17,94.2,89.9,75.4
nation,Wales,W92000004,2023-01-16,94.2,89.9,75.4
nation,Wales,W92000004,2023-01-15,94.2,89.9,75.4
nation,Wales,W92000004,2023-01-14,94.2,89.9,75.4
nation,Wales,W92000004,2023-01-13,94.2,89.9,75.4
