areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,West Midlands,E12000005,2023-05-10,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-09,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-08,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-07,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-06,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-05,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-04,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-03,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-02,78.5,74.8,58.3
region,West Midlands,E12000005,2023-05-01,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-30,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-29,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-28,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-27,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-26,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-25,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-24,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-23,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-22,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-21,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-20,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-19,78.5,74.8,58.3
region,West Midlands,E12000005,2023-04-18,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-17,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-16,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-15,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-14,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-13,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-12,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-11,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-10,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-09,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-08,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-07,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-06,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-05,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-04,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-03,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-02,78.5,74.7,58.3
region,West Midlands,E12000005,2023-04-01,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-31,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-30,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-29,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-28,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-27,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-26,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-25,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-24,78.5,74.7,58.3
region,West Midlands,E12000005,2023-03-23,78.5,74.7,58.3
