areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
region,Yorkshire and The Humber,E12000003,2023-05-10,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-09,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-08,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-07,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-06,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-05,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-04,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-03,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-02,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-05-01,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-30,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-29,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-28,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-27,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-26,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-25,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-24,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-23,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-22,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-21,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-20,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-19,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-18,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-17,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-16,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-15,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-14,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-13,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-12,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-11,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-10,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-09,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-08,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-07,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-06,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-05,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-04,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-03,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-02,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-04-01,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-31,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-30,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-29,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-28,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-27,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-26,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-25,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-24,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-23,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-22,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-21,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-20,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-19,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-18,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-17,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-16,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-15,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-14,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-13,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-12,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-11,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-10,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-09,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-08,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-07,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-06,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-05,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-04,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-03,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-02,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-03-01,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-28,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-27,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-26,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-25,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-24,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-23,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-22,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-21,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-20,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-19,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-18,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-17,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-16,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-15,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-14,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-13,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-12,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-11,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-10,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-09,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-08,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-07,80.8,77.2,61.4
region,Yorkshire and The Humber,E12000003,2023-02-06,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-02-05,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-02-04,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-02-03,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-02-02,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-02-01,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-31,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-30,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-29,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-28,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-27,80.8,77.2,61.3
region,Yorkshire and The Humber,E12000003,2023-01-26,80.8,77.2,61.3
